table_schema,table_name
humanresources,employee
humanresources,employeedepartmenthistory
humanresources,employeenameview
humanresources,employeepayhistory
humanresources,vemployee
humanresources,vemployeedepartment
humanresources,vemployeedepartmenthistory
person,person
person,personphone
sales,personcreditcard
sales,salesorderdetail
sales,salesorderheader
sales,salesorderheadersalesreason
sales,salesperson
sales,salespersonquotahistory
sales,vpersondemographics
sales,vsalesperson
sales,vsalespersonsalesbyfiscalyears
sales,vsalespersonsalesbyfiscalyearsdata
