businessentityid,salesytd,newdate
274,559697.5639,2026-04-29
275,3763178.1787,2026-04-29
276,4251368.5497,2026-04-29
277,3189418.3662,2026-04-29
278,1453719.4653,2026-04-29
279,2315185.6110,2026-04-29
280,1352577.1325,2026-04-29
281,2458535.6169,2026-04-29
282,2604540.7172,2026-04-29
283,1573012.9383,2026-04-29
284,1576562.1966,2026-04-29
285,172524.4512,2026-04-29
286,1421810.9242,2026-04-29
287,519905.9320,2026-04-29
288,1827066.7118,2026-04-29
289,4116871.2277,2026-04-29
290,3121616.3202,2026-04-29
