businessentityid,ratechangedate,rate,payfrequency,modifieddate,departmentid,shiftid,startdate,enddate,name,groupname
217,2009-01-04,17.7885,2,2008-04-30,12,1,2009-01-04,,Document Control,Quality Assurance
218,2008-12-16,16.8269,2,2008-04-30,12,3,2008-12-16,,Document Control,Quality Assurance
221,2009-03-06,16.8269,2,2008-04-30,12,2,2009-03-06,,Document Control,Quality Assurance
220,2009-02-09,10.2500,2,2008-04-30,12,1,2009-02-09,,Document Control,Quality Assurance
219,2009-01-22,10.2500,2,2008-04-30,12,1,2009-01-22,,Document Control,Quality Assurance
263,2008-12-11,50.4808,2,2008-04-30,11,1,2008-12-11,,Information Services,Executive General and Administration
264,2009-02-04,39.6635,2,2008-04-30,11,1,2009-02-04,,Information Services,Executive General and Administration
271,2009-01-22,38.4615,2,2008-04-30,11,1,2009-01-22,,Information Services,Executive General and Administration
270,2009-01-17,38.4615,2,2008-04-30,11,1,2009-01-17,,Information Services,Executive General and Administration
265,2008-12-04,32.4519,2,2008-04-30,11,2,2008-12-04,,Information Services,Executive General and Administration
266,2009-02-23,32.4519,2,2008-04-30,11,1,2009-02-23,,Information Services,Executive General and Administration
269,2009-01-11,27.4038,2,2008-04-30,11,1,2009-01-11,,Information Services,Executive General and Administration
268,2009-02-03,27.4038,2,2008-04-30,11,1,2009-02-03,,Information Services,Executive General and Administration
267,2009-02-16,27.4038,2,2008-04-30,11,1,2009-02-16,,Information Services,Executive General and Administration
272,2008-12-23,27.4038,2,2008-04-30,11,1,2008-12-23,,Information Services,Executive General and Administration
