column_name,data_type,table_name,table_schema
departmentid,integer,department,humanresources
name,character varying,department,humanresources
groupname,character varying,department,humanresources
modifieddate,timestamp without time zone,department,humanresources
businessentityid,integer,employee,humanresources
nationalidnumber,character varying,employee,humanresources
loginid,character varying,employee,humanresources
jobtitle,character varying,employee,humanresources
birthdate,date,employee,humanresources
maritalstatus,character,employee,humanresources
gender,character,employee,humanresources
hiredate,date,employee,humanresources
salariedflag,boolean,employee,humanresources
vacationhours,smallint,employee,humanresources
sickleavehours,smallint,employee,humanresources
currentflag,boolean,employee,humanresources
rowguid,uuid,employee,humanresources
modifieddate,timestamp without time zone,employee,humanresources
organizationnode,character varying,employee,humanresources
businessentityid,integer,employeedepartmenthistory,humanresources
departmentid,smallint,employeedepartmenthistory,humanresources
shiftid,smallint,employeedepartmenthistory,humanresources
startdate,date,employeedepartmenthistory,humanresources
enddate,date,employeedepartmenthistory,humanresources
modifieddate,timestamp without time zone,employeedepartmenthistory,humanresources
businessentityid,integer,employeenameview,humanresources
lastname,text,employeenameview,humanresources
businessentityid,integer,employeepayhistory,humanresources
ratechangedate,timestamp without time zone,employeepayhistory,humanresources
rate,numeric,employeepayhistory,humanresources
payfrequency,smallint,employeepayhistory,humanresources
modifieddate,timestamp without time zone,employeepayhistory,humanresources
jobcandidateid,integer,jobcandidate,humanresources
businessentityid,integer,jobcandidate,humanresources
resume,xml,jobcandidate,humanresources
modifieddate,timestamp without time zone,jobcandidate,humanresources
shiftid,integer,shift,humanresources
name,character varying,shift,humanresources
starttime,time without time zone,shift,humanresources
endtime,time without time zone,shift,humanresources
modifieddate,timestamp without time zone,shift,humanresources
businessentityid,integer,vemployee,humanresources
title,character varying,vemployee,humanresources
firstname,character varying,vemployee,humanresources
middlename,character varying,vemployee,humanresources
lastname,character varying,vemployee,humanresources
suffix,character varying,vemployee,humanresources
jobtitle,character varying,vemployee,humanresources
phonenumber,character varying,vemployee,humanresources
phonenumbertype,character varying,vemployee,humanresources
emailaddress,character varying,vemployee,humanresources
emailpromotion,integer,vemployee,humanresources
addressline1,character varying,vemployee,humanresources
addressline2,character varying,vemployee,humanresources
city,character varying,vemployee,humanresources
stateprovincename,character varying,vemployee,humanresources
postalcode,character varying,vemployee,humanresources
countryregionname,character varying,vemployee,humanresources
additionalcontactinfo,xml,vemployee,humanresources
businessentityid,integer,vemployeedepartment,humanresources
title,character varying,vemployeedepartment,humanresources
firstname,character varying,vemployeedepartment,humanresources
middlename,character varying,vemployeedepartment,humanresources
lastname,character varying,vemployeedepartment,humanresources
suffix,character varying,vemployeedepartment,humanresources
jobtitle,character varying,vemployeedepartment,humanresources
department,character varying,vemployeedepartment,humanresources
groupname,character varying,vemployeedepartment,humanresources
startdate,date,vemployeedepartment,humanresources
businessentityid,integer,vemployeedepartmenthistory,humanresources
title,character varying,vemployeedepartmenthistory,humanresources
firstname,character varying,vemployeedepartmenthistory,humanresources
middlename,character varying,vemployeedepartmenthistory,humanresources
lastname,character varying,vemployeedepartmenthistory,humanresources
suffix,character varying,vemployeedepartmenthistory,humanresources
shift,character varying,vemployeedepartmenthistory,humanresources
department,character varying,vemployeedepartmenthistory,humanresources
groupname,character varying,vemployeedepartmenthistory,humanresources
startdate,date,vemployeedepartmenthistory,humanresources
enddate,date,vemployeedepartmenthistory,humanresources
jobcandidateid,integer,vjobcandidate,humanresources
businessentityid,integer,vjobcandidate,humanresources
Name.Prefix,character varying,vjobcandidate,humanresources
Name.First,character varying,vjobcandidate,humanresources
Name.Middle,character varying,vjobcandidate,humanresources
Name.Last,character varying,vjobcandidate,humanresources
Name.Suffix,character varying,vjobcandidate,humanresources
Skills,character varying,vjobcandidate,humanresources
Addr.Type,character varying,vjobcandidate,humanresources
Addr.Loc.CountryRegion,character varying,vjobcandidate,humanresources
Addr.Loc.State,character varying,vjobcandidate,humanresources
Addr.Loc.City,character varying,vjobcandidate,humanresources
Addr.PostalCode,character varying,vjobcandidate,humanresources
EMail,character varying,vjobcandidate,humanresources
WebSite,character varying,vjobcandidate,humanresources
modifieddate,timestamp without time zone,vjobcandidate,humanresources
jobcandidateid,integer,vjobcandidateeducation,humanresources
Edu.Level,character varying,vjobcandidateeducation,humanresources
Edu.StartDate,date,vjobcandidateeducation,humanresources
Edu.EndDate,date,vjobcandidateeducation,humanresources
Edu.Degree,character varying,vjobcandidateeducation,humanresources
Edu.Major,character varying,vjobcandidateeducation,humanresources
Edu.Minor,character varying,vjobcandidateeducation,humanresources
Edu.GPA,character varying,vjobcandidateeducation,humanresources
Edu.GPAScale,character varying,vjobcandidateeducation,humanresources
Edu.School,character varying,vjobcandidateeducation,humanresources
Edu.Loc.CountryRegion,character varying,vjobcandidateeducation,humanresources
Edu.Loc.State,character varying,vjobcandidateeducation,humanresources
Edu.Loc.City,character varying,vjobcandidateeducation,humanresources
jobcandidateid,integer,vjobcandidateemployment,humanresources
Emp.StartDate,date,vjobcandidateemployment,humanresources
Emp.EndDate,date,vjobcandidateemployment,humanresources
Emp.OrgName,character varying,vjobcandidateemployment,humanresources
Emp.JobTitle,character varying,vjobcandidateemployment,humanresources
Emp.Responsibility,character varying,vjobcandidateemployment,humanresources
Emp.FunctionCategory,character varying,vjobcandidateemployment,humanresources
Emp.IndustryCategory,character varying,vjobcandidateemployment,humanresources
Emp.Loc.CountryRegion,character varying,vjobcandidateemployment,humanresources
Emp.Loc.State,character varying,vjobcandidateemployment,humanresources
Emp.Loc.City,character varying,vjobcandidateemployment,humanresources
countryregioncode,character varying,countryregioncurrency,sales
currencycode,character,countryregioncurrency,sales
modifieddate,timestamp without time zone,countryregioncurrency,sales
creditcardid,integer,creditcard,sales
cardtype,character varying,creditcard,sales
