territoryname,businessentityid,salesytd,prevrepsales,rn
Australia,286,1421810.9242,2278548.9776,1
Canada,278,1453719.4653,1620276.8966,2
Canada,282,2604540.7172,2038234.6549,1
Central,277,3189418.3662,1997186.2037,1
France,290,3121616.3202,2396539.7601,1
Germany,288,1827066.7118,1307949.7917,1
Northeast,275,3763178.1787,1750406.4785,1
Northwest,280,1352577.1325,1927059.1780,1
Northwest,284,1576562.1966,0.0000,2
Northwest,283,1573012.9383,1371635.3158,3
Southeast,279,2315185.6110,1849640.9418,1
Southwest,281,2458535.6169,2073505.9999,2
Southwest,276,4251368.5497,1439156.0291,1
United Kingdom,289,4116871.2277,1635823.3967,1
