column_name,data_type
businessentityid,integer
title,character varying
firstname,character varying
middlename,character varying
lastname,character varying
suffix,character varying
jobtitle,character varying
phonenumber,character varying
phonenumbertype,character varying
emailaddress,character varying
emailpromotion,integer
addressline1,character varying
addressline2,character varying
city,character varying
stateprovincename,character varying
postalcode,character varying
countryregionname,character varying
territoryname,character varying
territorygroup,character varying
salesquota,numeric
salesytd,numeric
saleslastyear,numeric
