productmodelid,productmodel_name,product_count,max_listprice,avg_listprice,condition_met
122,All-Purpose Bike Stand,1,159.0000,159.00,No
119,Bike Wash,1,7.9500,7.95,No
115,Cable Lock,1,25.0000,25.00,No
98,Chain,1,20.2400,20.24,No
1,Classic Vest,3,63.5000,63.50,No
2,Cycling Cap,1,8.9900,8.99,No
121,Fender Set - Mountain,1,21.9800,21.98,No
102,Front Brakes,1,106.5000,106.50,No
103,Front Derailleur,1,91.4900,91.49,No
3,Full-Finger Gloves,3,37.9900,37.99,No
97,HL Bottom Bracket,1,121.4900,121.49,No
101,HL Crankset,1,404.9900,404.99,No
106,HL Fork,1,229.4900,229.49,No
61,HL Headset,1,124.7300,124.73,No
5,HL Mountain Frame,10,1364.5000,1357.05,No
46,HL Mountain Front Wheel,1,300.2150,300.22,No
55,HL Mountain Handlebars,1,120.2700,120.27,No
64,HL Mountain Pedal,1,80.9900,80.99,No
125,HL Mountain Rear Wheel,1,327.2150,327.22,No
81,HL Mountain Seat/Saddle 2,1,52.6400,52.64,No
87,HL Mountain Tire,1,35.0000,35.00,No
6,HL Road Frame,11,1431.5000,1431.50,No
51,HL Road Front Wheel,1,330.0600,330.06,No
58,HL Road Handlebars,1,120.2700,120.27,No
70,HL Road Pedal,1,80.9900,80.99,No
78,HL Road Rear Wheel,1,357.0600,357.06,No
84,HL Road Seat/Saddle 2,1,52.6400,52.64,No
90,HL Road Tire,1,32.6000,32.60,No
7,HL Touring Frame,8,1003.9100,1003.91,No
48,HL Touring Handlebars,1,91.5700,91.57,No
67,HL Touring Seat/Saddle,1,52.6400,52.64,No
4,Half-Finger Gloves,3,24.4900,24.49,No
109,Headlights - Dual-Beam,1,34.9900,34.99,No
110,Headlights - Weatherproof,1,44.9900,44.99,No
118,Hitch Rack - 4-Bike,1,120.0000,120.00,No
107,Hydration Pack,1,54.9900,54.99,No
95,LL Bottom Bracket,1,53.9900,53.99,No
99,LL Crankset,1,175.4900,175.49,No
104,LL Fork,1,148.2200,148.22,No
59,LL Headset,1,34.2000,34.20,No
8,LL Mountain Frame,10,264.0500,256.92,No
42,LL Mountain Front Wheel,1,60.7450,60.75,No
52,LL Mountain Handlebars,1,44.5400,44.54,No
62,LL Mountain Pedal,1,40.4900,40.49,No
123,LL Mountain Rear Wheel,1,87.7450,87.75,No
79,LL Mountain Seat/Saddle 2,1,27.1200,27.12,No
85,LL Mountain Tire,1,24.9900,24.99,No
9,LL Road Frame,12,337.2200,337.22,No
49,LL Road Front Wheel,1,85.5650,85.57,No
56,LL Road Handlebars,1,44.5400,44.54,No
68,LL Road Pedal,1,40.4900,40.49,No
126,LL Road Rear Wheel,1,112.5650,112.57,No
82,LL Road Seat/Saddle 1,1,27.1200,27.12,No
88,LL Road Tire,1,21.4900,21.49,No
10,LL Touring Frame,10,333.4200,333.42,No
47,LL Touring Handlebars,1,46.0900,46.09,No
66,LL Touring Seat/Saddle,1,27.1200,27.12,No
11,Long-Sleeve Logo Jersey,4,49.9900,49.99,No
96,ML Bottom Bracket,1,101.2400,101.24,No
100,ML Crankset,1,256.4900,256.49,No
105,ML Fork,1,175.4900,175.49,No
60,ML Headset,1,102.2900,102.29,No
14,ML Mountain Frame,3,348.7600,348.76,No
15,ML Mountain Frame-W,5,364.0900,361.02,No
45,ML Mountain Front Wheel,1,209.0250,209.03,No
54,ML Mountain Handlebars,1,61.9200,61.92,No
63,ML Mountain Pedal,1,62.0900,62.09,No
124,ML Mountain Rear Wheel,1,236.0250,236.03,No
80,ML Mountain Seat/Saddle 2,1,39.1400,39.14,No
86,ML Mountain Tire,1,29.9900,29.99,No
16,ML Road Frame,5,594.8300,594.83,No
17,ML Road Frame-W,5,594.8300,594.83,No
50,ML Road Front Wheel,1,248.3850,248.39,No
57,ML Road Handlebars,1,61.9200,61.92,No
69,ML Road Pedal,1,62.0900,62.09,No
77,ML Road Rear Wheel,1,275.3850,275.39,No
83,ML Road Seat/Saddle 2,1,39.1400,39.14,No
89,ML Road Tire,1,24.9900,24.99,No
65,ML Touring Seat/Saddle,1,39.1400,39.14,No
12,Men's Bib-Shorts,3,89.9900,89.99,No
13,Men's Sports Shorts,4,59.9900,59.99,No
116,Minipump,1,19.9900,19.99,No
18,Mountain Bike Socks,2,9.5000,9.50,No
112,Mountain Bottle Cage,1,9.9900,9.99,No
117,Mountain Pump,1,24.9900,24.99,No
92,Mountain Tire Tube,1,4.9900,4.99,No
19,Mountain-100,8,3399.9900,3387.49,No
20,Mountain-200,6,2319.9900,2307.49,No
21,Mountain-300,4,1079.9900,1079.99,No
22,Mountain-400-W,4,769.4900,769.49,No
23,Mountain-500,10,564.9900,552.49,No
114,Patch kit,1,2.2900,2.29,No
24,Racing Socks,2,8.9900,8.99,No
128,Rear Brakes,1,106.5000,106.50,No
127,Rear Derailleur,1,121.4600,121.46,No
113,Road Bottle Cage,1,8.9900,8.99,No
93,Road Tire Tube,1,3.9900,3.99,No
25,Road-150,5,3578.2700,3578.27,No
26,Road-250,8,2443.3500,2443.35,No
27,Road-350-W,4,1700.9900,1700.99,No
28,Road-450,5,1457.9900,1457.99,No
29,Road-550-W,5,1120.4900,1120.49,No
30,Road-650,12,782.9900,782.99,No
31,Road-750,4,539.9900,539.99,No
32,Short-Sleeve Classic Jersey,4,53.9900,53.99,No
33,Sport-100,3,34.9900,34.99,No
108,Taillight,1,13.9900,13.99,No
44,Touring Front Wheel,1,218.0100,218.01,No
53,Touring Pedal,1,80.9900,80.99,No
43,Touring Rear Wheel,1,245.0100,245.01,No
91,Touring Tire,1,28.9900,28.99,No
94,Touring Tire Tube,1,4.9900,4.99,No
34,Touring-1000,8,2384.0700,2384.07,No
35,Touring-2000,4,1214.8500,1214.85,No
36,Touring-3000,10,742.3500,742.35,No
120,Touring-Panniers,1,125.0000,125.00,No
111,Water Bottle,1,4.9900,4.99,No
37,Women's Mountain Shorts,3,69.9900,69.99,No
38,Women's Tights,3,74.9900,74.99,No
