salesperson_id,newdate,total_sales_value
274,2026-04-29,1235934.4451
275,2026-04-29,10475367.0751
276,2026-04-29,11695019.0605
277,2026-04-29,11342385.8968
278,2026-04-29,4069422.2109
279,2026-04-29,8086073.6761
280,2026-04-29,3748246.1218
281,2026-04-29,7259567.8761
282,2026-04-29,6683536.6583
283,2026-04-29,4207894.6025
284,2026-04-29,2608116.3755
285,2026-04-29,195528.7838
286,2026-04-29,1606441.4471
287,2026-04-29,826417.4667
288,2026-04-29,2062393.1371
289,2026-04-29,9585124.9477
290,2026-04-29,5087977.2120
