table_catalog,table_schema,table_name,table_type,self_referencing_column_name,reference_generation,user_defined_type_catalog,user_defined_type_schema,user_defined_type_name,is_insertable_into,is_typed,commit_action
adventureworks,humanresources,employeenameview,VIEW,,,,,,YES,NO,
adventureworks,person,address,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_statistic,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_type,BASE TABLE,,,,,,YES,NO,
adventureworks,person,stateprovince,BASE TABLE,,,,,,YES,NO,
adventureworks,person,businessentityaddress,BASE TABLE,,,,,,YES,NO,
adventureworks,person,addresstype,BASE TABLE,,,,,,YES,NO,
adventureworks,person,businessentity,BASE TABLE,,,,,,YES,NO,
adventureworks,person,person,BASE TABLE,,,,,,YES,NO,
adventureworks,person,businessentitycontact,BASE TABLE,,,,,,YES,NO,
adventureworks,person,contacttype,BASE TABLE,,,,,,YES,NO,
adventureworks,person,emailaddress,BASE TABLE,,,,,,YES,NO,
adventureworks,person,password,BASE TABLE,,,,,,YES,NO,
adventureworks,person,phonenumbertype,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_foreign_table,BASE TABLE,,,,,,YES,NO,
adventureworks,person,countryregion,BASE TABLE,,,,,,YES,NO,
adventureworks,humanresources,employee,BASE TABLE,,,,,,YES,NO,
adventureworks,humanresources,department,BASE TABLE,,,,,,YES,NO,
adventureworks,humanresources,employeedepartmenthistory,BASE TABLE,,,,,,YES,NO,
adventureworks,person,personphone,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_authid,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_shadow,VIEW,,,,,,NO,NO,
adventureworks,humanresources,employeepayhistory,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_roles,VIEW,,,,,,NO,NO,
adventureworks,humanresources,jobcandidate,BASE TABLE,,,,,,YES,NO,
adventureworks,production,document,BASE TABLE,,,,,,YES,NO,
adventureworks,production,billofmaterials,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_statistic_ext_data,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_hba_file_rules,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_settings,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_file_settings,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_backend_memory_contexts,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_ident_file_mappings,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_config,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_shmem_allocations,VIEW,,,,,,NO,NO,
adventureworks,humanresources,shift,BASE TABLE,,,,,,YES,NO,
adventureworks,production,productsubcategory,BASE TABLE,,,,,,YES,NO,
adventureworks,production,culture,BASE TABLE,,,,,,YES,NO,
adventureworks,production,productcategory,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_tables,VIEW,,,,,,NO,NO,
adventureworks,production,productdescription,BASE TABLE,,,,,,YES,NO,
adventureworks,production,productmodel,BASE TABLE,,,,,,YES,NO,
adventureworks,production,product,BASE TABLE,,,,,,YES,NO,
adventureworks,production,productcosthistory,BASE TABLE,,,,,,YES,NO,
adventureworks,production,productdocument,BASE TABLE,,,,,,YES,NO,
adventureworks,production,location,BASE TABLE,,,,,,YES,NO,
adventureworks,production,productinventory,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_user_mapping,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_replication_origin_status,VIEW,,,,,,NO,NO,
