territoryname,businessentityid,salesytd,prevrepsales
Australia,286,1421810.9242,
Canada,278,1453719.4653,
Canada,282,2604540.7172,1453719.4653
Central,277,3189418.3662,
France,290,3121616.3202,
Germany,288,1827066.7118,
Northeast,275,3763178.1787,
Northwest,280,1352577.1325,
Northwest,283,1573012.9383,1352577.1325
Northwest,284,1576562.1966,1573012.9383
Southeast,279,2315185.6110,
Southwest,276,4251368.5497,
Southwest,281,2458535.6169,4251368.5497
United Kingdom,289,4116871.2277,
,274,559697.5639,
,285,172524.4512,559697.5639
,287,519905.9320,172524.4512
