name,jobtitle,groupinglevel,name_grouping,jobtitle_grouping,groupname_grouping,employeecount
Finance,Accountant,Executive General and Administration,0,0,0,2
Finance,Accountant,,0,0,1,2
Finance,Accounts Manager,Executive General and Administration,0,0,0,1
Finance,Accounts Manager,,0,0,1,1
Finance,Accounts Payable Specialist,Executive General and Administration,0,0,0,2
Finance,Accounts Payable Specialist,,0,0,1,2
Finance,Accounts Receivable Specialist,Executive General and Administration,0,0,0,3
Finance,Accounts Receivable Specialist,,0,0,1,3
Finance,Assistant to the Chief Financial Officer,Executive General and Administration,0,0,0,1
Finance,Assistant to the Chief Financial Officer,,0,0,1,1
Finance,Finance Manager,Executive General and Administration,0,0,0,1
Finance,Finance Manager,,0,0,1,1
Finance,,,0,1,1,10
Production Control,Master Scheduler,Manufacturing,0,0,0,1
Production Control,Master Scheduler,,0,0,1,1
Production Control,Production Control Manager,Manufacturing,0,0,0,1
Production Control,Production Control Manager,,0,0,1,1
Production Control,Scheduling Assistant,Manufacturing,0,0,0,4
Production Control,Scheduling Assistant,,0,0,1,4
Production Control,,,0,1,1,6
,,,1,1,1,16
