column_name,data_type,is_nullable
productid,integer,NO
name,character varying,NO
productnumber,character varying,NO
makeflag,boolean,NO
finishedgoodsflag,boolean,NO
color,character varying,YES
safetystocklevel,smallint,NO
reorderpoint,smallint,NO
standardcost,numeric,NO
listprice,numeric,NO
size,character varying,YES
sizeunitmeasurecode,character,YES
weightunitmeasurecode,character,YES
weight,numeric,YES
daystomanufacture,integer,NO
productline,character,YES
class,character,YES
style,character,YES
productsubcategoryid,integer,YES
productmodelid,integer,YES
sellstartdate,timestamp without time zone,NO
sellenddate,timestamp without time zone,YES
discontinueddate,timestamp without time zone,YES
rowguid,uuid,NO
modifieddate,timestamp without time zone,NO
