table_schema,table_name
humanresources,employeenameview
person,address
person,stateprovince
person,businessentityaddress
person,addresstype
person,businessentity
person,person
person,businessentitycontact
person,contacttype
person,emailaddress
person,password
person,phonenumbertype
person,countryregion
humanresources,employee
humanresources,department
humanresources,employeedepartmenthistory
person,personphone
humanresources,employeepayhistory
humanresources,jobcandidate
production,document
production,billofmaterials
humanresources,shift
production,productsubcategory
production,culture
production,productcategory
production,productdescription
production,productmodel
production,product
production,productcosthistory
production,productdocument
production,location
production,productinventory
information_schema,collations
information_schema,information_schema_catalog_name
information_schema,applicable_roles
information_schema,domain_constraints
information_schema,administrable_role_authorizations
information_schema,collation_character_set_applicability
information_schema,attributes
information_schema,character_sets
information_schema,column_udt_usage
information_schema,check_constraint_routine_usage
information_schema,column_column_usage
information_schema,check_constraints
information_schema,constraint_table_usage
information_schema,column_domain_usage
information_schema,columns
information_schema,column_privileges
information_schema,constraint_column_usage
information_schema,domain_udt_usage
information_schema,domains
information_schema,enabled_roles
information_schema,key_column_usage
information_schema,parameters
information_schema,table_privileges
information_schema,referential_constraints
information_schema,sql_features
information_schema,role_column_grants
information_schema,routine_column_usage
information_schema,routine_privileges
information_schema,role_routine_grants
information_schema,routine_routine_usage
information_schema,sql_implementation_info
information_schema,routine_sequence_usage
information_schema,routine_table_usage
information_schema,routines
information_schema,schemata
information_schema,sql_parts
information_schema,sequences
information_schema,transforms
information_schema,sql_sizing
information_schema,role_table_grants
information_schema,table_constraints
information_schema,triggers
information_schema,tables
information_schema,triggered_update_columns
information_schema,udt_privileges
information_schema,role_udt_grants
information_schema,usage_privileges
information_schema,role_usage_grants
information_schema,user_defined_types
production,illustration
information_schema,view_column_usage
information_schema,foreign_servers
information_schema,view_routine_usage
information_schema,view_table_usage
information_schema,_pg_foreign_tables
information_schema,views
information_schema,data_type_privileges
information_schema,element_types
information_schema,_pg_foreign_table_columns
information_schema,foreign_table_options
information_schema,column_options
information_schema,_pg_foreign_data_wrappers
information_schema,foreign_data_wrapper_options
information_schema,foreign_data_wrappers
information_schema,_pg_foreign_servers
information_schema,foreign_tables
information_schema,foreign_server_options
information_schema,_pg_user_mappings
production,productphoto
information_schema,user_mapping_options
information_schema,user_mappings
production,productmodelproductdescriptionculture
production,productmodelillustration
production,productproductphoto
production,productreview
production,unitmeasure
purchasing,purchaseorderheader
production,transactionhistoryarchive
purchasing,productvendor
purchasing,purchaseorderdetail
purchasing,shipmethod
production,transactionhistory
production,workorder
production,scrapreason
production,workorderrouting
sales,countryregioncurrency
sales,currency
sales,currencyrate
sales,salespersonquotahistory
sales,creditcard
sales,customer
sales,personcreditcard
purchasing,vendor
sales,salesorderheader
sales,salesorderdetail
sales,salesperson
sales,salesorderheadersalesreason
sales,store
sales,salesterritory
sales,salestaxrate
sales,specialofferproduct
sales,salesreason
sales,salesterritoryhistory
sales,shoppingcartitem
sales,specialoffer
production,productlistpricehistory
humanresources,vemployee
person,vadditionalcontactinfo
humanresources,vemployeedepartment
humanresources,vemployeedepartmenthistory
sales,vindividualcustomer
sales,vpersondemographics
humanresources,vjobcandidate
humanresources,vjobcandidateemployment
humanresources,vjobcandidateeducation
sales,vstorewithdemographics
production,vproductmodelcatalogdescription
production,vproductmodelinstructions
sales,vsalesperson
sales,vsalespersonsalesbyfiscalyearsdata
sales,vsalespersonsalesbyfiscalyears
sales,vstorewithcontacts
pe,bec
sales,vstorewithaddresses
purchasing,vvendorwithcontacts
purchasing,vvendorwithaddresses
pe,a
pe,at
pe,be
pe,bea
pe,ct
pe,cr
pe,e
pe,pa
pe,p
pe,pp
pe,pnt
pe,sp
hr,d
hr,e
hr,edh
hr,eph
hr,jc
hr,s
pr,bom
pr,c
pr,d
pr,i
pr,l
pr,p
pr,pc
pr,pch
pr,pd
pr,pdoc
pr,pi
pr,plph
pr,pm
pr,pmi
pr,pmpdc
pr,pp
pr,ppp
pr,pr
pr,psc
pr,sr
pr,th
pr,tha
pr,um
pr,w
pr,wr
pu,pv
pu,pod
pu,poh
pu,sm
pu,v
sa,crc
sa,cc
sa,cu
sa,cr
sa,c
sa,pcc
sa,sod
sa,soh
sa,sohsr
sa,sp
sa,spqh
sa,sr
sa,tr
sa,st
sa,sth
sa,sci
sa,so
sa,sop
sa,s
