businessentityid,salesytd,saleslastyear
274,559697.5639,0.0000
275,3763178.1787,1750406.4785
276,4251368.5497,1439156.0291
277,3189418.3662,1997186.2037
278,1453719.4653,1620276.8966
279,2315185.6110,1849640.9418
280,1352577.1325,1927059.1780
281,2458535.6169,2073505.9999
282,2604540.7172,2038234.6549
283,1573012.9383,1371635.3158
284,1576562.1966,0.0000
285,172524.4512,0.0000
286,1421810.9242,2278548.9776
287,519905.9320,0.0000
288,1827066.7118,1307949.7917
289,4116871.2277,1635823.3967
290,3121616.3202,2396539.7601
