table_catalog,table_schema,table_name,table_type,self_referencing_column_name,reference_generation,user_defined_type_catalog,user_defined_type_schema,user_defined_type_name,is_insertable_into,is_typed,commit_action
adventureworks,humanresources,employeenameview,VIEW,,,,,,YES,NO,
adventureworks,person,address,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_statistic,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_type,BASE TABLE,,,,,,YES,NO,
adventureworks,person,stateprovince,BASE TABLE,,,,,,YES,NO,
adventureworks,person,businessentityaddress,BASE TABLE,,,,,,YES,NO,
adventureworks,person,addresstype,BASE TABLE,,,,,,YES,NO,
adventureworks,person,businessentity,BASE TABLE,,,,,,YES,NO,
adventureworks,person,person,BASE TABLE,,,,,,YES,NO,
adventureworks,person,businessentitycontact,BASE TABLE,,,,,,YES,NO,
