model_name,product_count,max_list_price,avg_list_price
LL Road Frame,12,337.2200,337.2200000000000000
Road-650,12,782.9900,782.9900000000000000
HL Road Frame,11,1431.5000,1431.5000000000000000
LL Mountain Frame,10,264.0500,256.9200000000000000
LL Touring Frame,10,333.4200,333.4200000000000000
Touring-3000,10,742.3500,742.3500000000000000
Mountain-500,10,564.9900,552.4900000000000000
HL Mountain Frame,10,1364.5000,1357.0500000000000000
Road-250,8,2443.3500,2443.3500000000000000
Mountain-100,8,3399.9900,3387.4900000000000000
