businessentityid,quotadate,salesquota,rn
274,2022-05-30,28000.0000,1
274,2022-08-30,7000.0000,2
274,2022-11-30,91000.0000,3
274,2023-02-28,140000.0000,4
274,2023-05-30,70000.0000,5
274,2023-08-30,154000.0000,6
274,2023-11-30,107000.0000,7
274,2024-02-28,58000.0000,8
274,2024-05-29,263000.0000,9
274,2024-08-29,116000.0000,10
274,2024-11-29,84000.0000,11
274,2025-02-28,187000.0000,12
275,2022-05-30,367000.0000,1
275,2022-08-30,556000.0000,2
275,2022-11-30,502000.0000,3
275,2023-02-28,550000.0000,4
275,2023-05-30,1429000.0000,5
275,2023-08-30,1324000.0000,6
275,2023-11-30,729000.0000,7
275,2024-02-28,1194000.0000,8
275,2024-05-29,1575000.0000,9
275,2024-08-29,1218000.0000,10
275,2024-11-29,849000.0000,11
275,2025-02-28,869000.0000,12
