department,employeeid,hiredate,rate,lasthiredateindeptbyrate
Document Control,219,2009-01-22,10.2500,2009-02-09
Document Control,220,2009-02-09,10.2500,2009-02-09
Document Control,218,2008-12-16,16.8269,2009-03-06
Document Control,221,2009-03-06,16.8269,2009-03-06
Document Control,217,2009-01-04,17.7885,2009-01-04
Information Services,272,2008-12-23,27.4038,2009-02-16
Information Services,269,2009-01-11,27.4038,2009-02-16
Information Services,268,2009-02-03,27.4038,2009-02-16
Information Services,267,2009-02-16,27.4038,2009-02-16
Information Services,265,2008-12-04,32.4519,2009-02-23
Information Services,266,2009-02-23,32.4519,2009-02-23
Information Services,270,2009-01-17,38.4615,2009-01-22
Information Services,271,2009-01-22,38.4615,2009-01-22
Information Services,264,2009-02-04,39.6635,2009-02-04
Information Services,263,2008-12-11,50.4808,2008-12-11
