businessentityid,quotadate,salesquota,first_date
277,2022-05-30,565000.0000,2022-05-30
277,2022-08-30,872000.0000,2022-05-30
277,2022-11-30,846000.0000,2022-05-30
277,2023-02-28,952000.0000,2022-05-30
277,2023-05-30,1600000.0000,2022-05-30
277,2023-08-30,1352000.0000,2022-05-30
277,2023-11-30,839000.0000,2022-05-30
277,2024-02-28,1369000.0000,2022-05-30
277,2024-05-29,1171000.0000,2022-05-30
277,2024-08-29,971000.0000,2022-05-30
277,2024-11-29,714000.0000,2022-05-30
277,2025-02-28,947000.0000,2022-05-30
