name,product_count,max_price,avg_price,twice_avg
LL Mountain Frame,10,264.0500,256.9200000000000000,513.8400000000000000
Mountain-500,10,564.9900,552.4900000000000000,1104.9800000000000000
ML Mountain Frame-W,5,364.0900,361.0240000000000000,722.0480000000000000
HL Mountain Frame,10,1364.5000,1357.0500000000000000,2714.1000000000000000
Mountain-200,6,2319.9900,2307.4900000000000000,4614.9800000000000000
Mountain-100,8,3399.9900,3387.4900000000000000,6774.9800000000000000
Full-Finger Gloves,3,37.9900,37.9900000000000000,75.9800000000000000
ML Road Frame-W,5,594.8300,594.8300000000000000,1189.6600000000000000
Women's Mountain Shorts,3,69.9900,69.9900000000000000,139.9800000000000000
Road-450,5,1457.9900,1457.9900000000000000,2915.9800000000000000
Road-550-W,5,1120.4900,1120.4900000000000000,2240.9800000000000000
Half-Finger Gloves,3,24.4900,24.4900000000000000,48.9800000000000000
Touring-1000,8,2384.0700,2384.0700000000000000,4768.1400000000000000
LL Touring Frame,10,333.4200,333.4200000000000000,666.8400000000000000
Touring-2000,4,1214.8500,1214.8500000000000000,2429.7000000000000000
Mountain-400-W,4,769.4900,769.4900000000000000,1538.9800000000000000
Touring-3000,10,742.3500,742.3500000000000000,1484.7000000000000000
Road-750,4,539.9900,539.9900000000000000,1079.9800000000000000
ML Mountain Frame,3,348.7600,348.7600000000000000,697.5200000000000000
Men's Sports Shorts,4,59.9900,59.9900000000000000,119.9800000000000000
