salesorderid,productid,orderqty,sum,average,count,max,min
43659,709,6,6,6.0000000000000000,1,6,6
43659,711,4,4,4.0000000000000000,1,4,4
43659,712,2,2,2.0000000000000000,1,2,2
43659,714,3,3,3.0000000000000000,1,3,3
43659,716,1,1,1.00000000000000000000,1,1,1
43659,771,1,1,1.00000000000000000000,1,1,1
43659,772,1,1,1.00000000000000000000,1,1,1
43659,773,2,2,2.0000000000000000,1,2,2
43659,774,1,1,1.00000000000000000000,1,1,1
43659,776,1,1,1.00000000000000000000,1,1,1
43659,777,3,3,3.0000000000000000,1,3,3
43659,778,1,1,1.00000000000000000000,1,1,1
43664,714,1,1,1.00000000000000000000,1,1,1
43664,716,1,1,1.00000000000000000000,1,1,1
43664,771,3,3,3.0000000000000000,1,3,3
43664,772,1,1,1.00000000000000000000,1,1,1
43664,773,1,1,1.00000000000000000000,1,1,1
43664,775,4,4,4.0000000000000000,1,4,4
43664,777,2,2,2.0000000000000000,1,2,2
43664,778,1,1,1.00000000000000000000,1,1,1
