table_schema,table_name
humanresources,employeenameview
person,address
pg_catalog,pg_statistic
pg_catalog,pg_type
person,stateprovince
person,businessentityaddress
person,addresstype
person,businessentity
person,person
person,businessentitycontact
person,contacttype
person,emailaddress
person,password
person,phonenumbertype
pg_catalog,pg_foreign_table
person,countryregion
humanresources,employee
humanresources,department
humanresources,employeedepartmenthistory
person,personphone
pg_catalog,pg_authid
pg_catalog,pg_shadow
humanresources,employeepayhistory
pg_catalog,pg_roles
humanresources,jobcandidate
production,document
production,billofmaterials
pg_catalog,pg_statistic_ext_data
pg_catalog,pg_hba_file_rules
pg_catalog,pg_settings
pg_catalog,pg_file_settings
pg_catalog,pg_backend_memory_contexts
pg_catalog,pg_ident_file_mappings
pg_catalog,pg_config
pg_catalog,pg_shmem_allocations
humanresources,shift
production,productsubcategory
production,culture
production,productcategory
pg_catalog,pg_tables
production,productdescription
production,productmodel
production,product
production,productcosthistory
production,productdocument
production,location
production,productinventory
pg_catalog,pg_user_mapping
pg_catalog,pg_replication_origin_status
pg_catalog,pg_subscription
pg_catalog,pg_attribute
pg_catalog,pg_proc
pg_catalog,pg_class
pg_catalog,pg_attrdef
pg_catalog,pg_constraint
pg_catalog,pg_inherits
pg_catalog,pg_index
pg_catalog,pg_operator
pg_catalog,pg_statio_all_sequences
pg_catalog,pg_opfamily
pg_catalog,pg_opclass
pg_catalog,pg_am
pg_catalog,pg_amop
pg_catalog,pg_amproc
pg_catalog,pg_language
pg_catalog,pg_largeobject_metadata
pg_catalog,pg_aggregate
pg_catalog,pg_statistic_ext
pg_catalog,pg_rewrite
pg_catalog,pg_trigger
pg_catalog,pg_event_trigger
pg_catalog,pg_description
pg_catalog,pg_cast
pg_catalog,pg_enum
pg_catalog,pg_namespace
pg_catalog,pg_conversion
pg_catalog,pg_depend
pg_catalog,pg_database
pg_catalog,pg_db_role_setting
pg_catalog,pg_tablespace
pg_catalog,pg_auth_members
pg_catalog,pg_shdepend
pg_catalog,pg_shdescription
pg_catalog,pg_ts_config
pg_catalog,pg_ts_config_map
pg_catalog,pg_ts_dict
pg_catalog,pg_ts_parser
pg_catalog,pg_ts_template
pg_catalog,pg_extension
pg_catalog,pg_foreign_data_wrapper
pg_catalog,pg_foreign_server
pg_catalog,pg_policy
pg_catalog,pg_replication_origin
pg_catalog,pg_default_acl
pg_catalog,pg_init_privs
pg_catalog,pg_seclabel
pg_catalog,pg_shseclabel
pg_catalog,pg_collation
pg_catalog,pg_parameter_acl
pg_catalog,pg_partitioned_table
pg_catalog,pg_range
pg_catalog,pg_transform
pg_catalog,pg_sequence
pg_catalog,pg_publication
pg_catalog,pg_publication_namespace
pg_catalog,pg_publication_rel
pg_catalog,pg_subscription_rel
pg_catalog,pg_group
pg_catalog,pg_user
pg_catalog,pg_policies
pg_catalog,pg_rules
pg_catalog,pg_views
pg_catalog,pg_matviews
pg_catalog,pg_indexes
pg_catalog,pg_sequences
pg_catalog,pg_stats
pg_catalog,pg_stats_ext
pg_catalog,pg_stats_ext_exprs
pg_catalog,pg_publication_tables
pg_catalog,pg_locks
pg_catalog,pg_cursors
pg_catalog,pg_available_extensions
pg_catalog,pg_available_extension_versions
pg_catalog,pg_prepared_xacts
pg_catalog,pg_prepared_statements
pg_catalog,pg_seclabels
pg_catalog,pg_timezone_abbrevs
pg_catalog,pg_timezone_names
pg_catalog,pg_stat_all_tables
pg_catalog,pg_stat_xact_all_tables
pg_catalog,pg_stat_xact_user_tables
pg_catalog,pg_stat_sys_tables
pg_catalog,pg_stat_xact_sys_tables
pg_catalog,pg_stat_user_tables
pg_catalog,pg_statio_all_tables
pg_catalog,pg_statio_sys_tables
pg_catalog,pg_statio_user_tables
