name,jobtitle,groupinglevel,employeecount
Finance,Accountant,Executive General and Administration,2
Finance,Accountant,All Groups,2
Finance,Accounts Manager,Executive General and Administration,1
Finance,Accounts Manager,All Groups,1
Finance,Accounts Payable Specialist,Executive General and Administration,2
Finance,Accounts Payable Specialist,All Groups,2
Finance,Accounts Receivable Specialist,Executive General and Administration,3
Finance,Accounts Receivable Specialist,All Groups,3
Finance,Assistant to the Chief Financial Officer,Executive General and Administration,1
Finance,Assistant to the Chief Financial Officer,All Groups,1
Finance,Finance Manager,Executive General and Administration,1
Finance,Finance Manager,All Groups,1
Finance,All Job Titles,All Groups,10
Production Control,Master Scheduler,Manufacturing,1
Production Control,Master Scheduler,All Groups,1
Production Control,Production Control Manager,Manufacturing,1
Production Control,Production Control Manager,All Groups,1
Production Control,Scheduling Assistant,Manufacturing,4
Production Control,Scheduling Assistant,All Groups,4
Production Control,All Job Titles,All Groups,6
All Departments,All Job Titles,All Groups,16
