table_name,column_name
salesorderdetail,salesorderid
salesorderdetail,salesorderdetailid
salesorderdetail,carriertrackingnumber
salesorderdetail,orderqty
salesorderdetail,productid
salesorderdetail,specialofferid
salesorderdetail,unitprice
salesorderdetail,unitpricediscount
salesorderdetail,rowguid
salesorderdetail,modifieddate
salesorderheader,salesorderid
salesorderheader,revisionnumber
salesorderheader,orderdate
salesorderheader,duedate
salesorderheader,shipdate
salesorderheader,status
salesorderheader,onlineorderflag
salesorderheader,purchaseordernumber
salesorderheader,accountnumber
salesorderheader,customerid
salesorderheader,salespersonid
salesorderheader,territoryid
salesorderheader,billtoaddressid
salesorderheader,shiptoaddressid
salesorderheader,shipmethodid
salesorderheader,creditcardid
salesorderheader,creditcardapprovalcode
salesorderheader,currencyrateid
salesorderheader,subtotal
salesorderheader,taxamt
salesorderheader,freight
salesorderheader,totaldue
salesorderheader,comment
salesorderheader,rowguid
salesorderheader,modifieddate
