productid,locationid,shelf,bin,quantity,rowguid,modifieddate
492,3,A,3,17,f3b4712f-44b3-4a53-b245-63c39476bd53,2025-08-10
492,4,A,6,14,87ac9f46-e5c5-4c75-9d14-43340ed0aa50,2025-08-10
493,3,A,2,41,318e5d8b-83ca-416c-80d7-c77854b0b612,2025-08-10
493,4,A,8,24,4927f190-22cc-486a-93c8-57a7fd3124be,2025-08-10
494,3,A,1,49,6df644a4-3d8b-4536-b012-7454bc2bb72b,2025-08-10
494,4,A,7,12,fd0ad7c7-6338-47e2-b682-979cf5c68804,2025-08-10
495,3,A,5,49,15894a4c-a7f7-417f-b293-99b75ca3d396,2025-08-10
495,4,A,9,35,104606e8-072c-4290-a461-17791e14cd1c,2025-08-10
496,3,A,4,30,3aab2ea0-bb00-4faa-bec7-751ee97d9f8f,2025-08-10
496,4,A,10,25,5b66cd4c-aaab-4072-9b1c-2141463606ab,2025-08-10
