table_schema,table_name
humanresources,employeenameview
humanresources,employee
humanresources,employeedepartmenthistory
humanresources,employeepayhistory
sales,salespersonquotahistory
sales,salesorderheader
sales,salesorderdetail
sales,salesperson
sales,salesorderheadersalesreason
sales,salesterritory
sales,salestaxrate
sales,salesreason
sales,salesterritoryhistory
humanresources,vemployee
humanresources,vemployeedepartment
humanresources,vemployeedepartmenthistory
sales,vsalesperson
sales,vsalespersonsalesbyfiscalyearsdata
sales,vsalespersonsalesbyfiscalyears
