table_schema,table_name
humanresources,employeenameview
humanresources,employee
humanresources,employeedepartmenthistory
humanresources,employeepayhistory
production,productsubcategory
production,productcategory
production,productdescription
production,productmodel
production,product
production,productcosthistory
production,productdocument
production,productinventory
production,productphoto
production,productmodelproductdescriptionculture
production,productmodelillustration
production,productproductphoto
production,productreview
purchasing,purchaseorderheader
purchasing,productvendor
purchasing,purchaseorderdetail
production,workorder
production,workorderrouting
sales,salespersonquotahistory
sales,salesorderheader
sales,salesorderdetail
sales,salesperson
sales,salesorderheadersalesreason
sales,salesterritory
sales,salestaxrate
sales,specialofferproduct
sales,salesreason
sales,salesterritoryhistory
production,productlistpricehistory
humanresources,vemployee
humanresources,vemployeedepartment
humanresources,vemployeedepartmenthistory
humanresources,vjobcandidateemployment
production,vproductmodelcatalogdescription
production,vproductmodelinstructions
sales,vsalesperson
sales,vsalespersonsalesbyfiscalyearsdata
sales,vsalespersonsalesbyfiscalyears
