salesorderid,productid,orderqty,sum,average,count,min,max
43659,709,6,26,2.1666666666666667,12,1,6
43659,711,4,26,2.1666666666666667,12,1,6
43659,712,2,26,2.1666666666666667,12,1,6
43659,714,3,26,2.1666666666666667,12,1,6
43659,716,1,26,2.1666666666666667,12,1,6
43659,771,1,26,2.1666666666666667,12,1,6
43659,772,1,26,2.1666666666666667,12,1,6
43659,773,2,26,2.1666666666666667,12,1,6
43659,774,1,26,2.1666666666666667,12,1,6
43659,776,1,26,2.1666666666666667,12,1,6
43659,777,3,26,2.1666666666666667,12,1,6
43659,778,1,26,2.1666666666666667,12,1,6
43664,714,1,14,1.7500000000000000,8,1,4
43664,716,1,14,1.7500000000000000,8,1,4
43664,771,3,14,1.7500000000000000,8,1,4
43664,772,1,14,1.7500000000000000,8,1,4
43664,773,1,14,1.7500000000000000,8,1,4
43664,775,4,14,1.7500000000000000,8,1,4
43664,777,2,14,1.7500000000000000,8,1,4
43664,778,1,14,1.7500000000000000,8,1,4
