businessentityid,quotadate,month,quarter,rn
274,2022-05-30,5,2,1
274,2022-08-30,8,3,2
274,2022-11-30,11,4,3
274,2023-02-28,2,1,4
274,2023-05-30,5,2,5
274,2023-08-30,8,3,6
274,2023-11-30,11,4,7
274,2024-02-28,2,1,8
274,2024-05-29,5,2,9
274,2024-08-29,8,3,10
274,2024-11-29,11,4,11
274,2025-02-28,2,1,12
275,2022-05-30,5,2,1
275,2022-08-30,8,3,2
275,2022-11-30,11,4,3
275,2023-02-28,2,1,4
275,2023-05-30,5,2,5
275,2023-08-30,8,3,6
275,2023-11-30,11,4,7
275,2024-02-28,2,1,8
275,2024-05-29,5,2,9
275,2024-08-29,8,3,10
275,2024-11-29,11,4,11
275,2025-02-28,2,1,12
