column_name,data_type
departmentid,integer
name,character varying
groupname,character varying
modifieddate,timestamp without time zone
businessentityid,integer
nationalidnumber,character varying
loginid,character varying
jobtitle,character varying
birthdate,date
maritalstatus,character
gender,character
hiredate,date
salariedflag,boolean
vacationhours,smallint
sickleavehours,smallint
currentflag,boolean
rowguid,uuid
modifieddate,timestamp without time zone
organizationnode,character varying
businessentityid,integer
departmentid,smallint
shiftid,smallint
startdate,date
enddate,date
modifieddate,timestamp without time zone
businessentityid,integer
title,character varying
firstname,character varying
middlename,character varying
lastname,character varying
suffix,character varying
shift,character varying
department,character varying
groupname,character varying
startdate,date
enddate,date
