businessentityid,salesytd,newdate
274,559697.5639,2026-04-27
275,3763178.1787,2026-04-27
276,4251368.5497,2026-04-27
277,3189418.3662,2026-04-27
278,1453719.4653,2026-04-27
279,2315185.6110,2026-04-27
280,1352577.1325,2026-04-27
281,2458535.6169,2026-04-27
282,2604540.7172,2026-04-27
283,1573012.9383,2026-04-27
284,1576562.1966,2026-04-27
285,172524.4512,2026-04-27
286,1421810.9242,2026-04-27
287,519905.9320,2026-04-27
288,1827066.7118,2026-04-27
289,4116871.2277,2026-04-27
290,3121616.3202,2026-04-27
