product_model_name,max_list_price,avg_list_price,min_list_price,product_count
Road-150,3578.2700,3578.27,3578.2700,5
Mountain-100,3399.9900,3387.49,3374.9900,8
Road-250,2443.3500,2443.35,2443.3500,8
Touring-1000,2384.0700,2384.07,2384.0700,8
Mountain-200,2319.9900,2307.49,2294.9900,6
Road-350-W,1700.9900,1700.99,1700.9900,4
Road-450,1457.9900,1457.99,1457.9900,5
HL Road Frame,1431.5000,1431.50,1431.5000,11
HL Mountain Frame,1364.5000,1357.05,1349.6000,10
Touring-2000,1214.8500,1214.85,1214.8500,4
Road-550-W,1120.4900,1120.49,1120.4900,5
Mountain-300,1079.9900,1079.99,1079.9900,4
HL Touring Frame,1003.9100,1003.91,1003.9100,8
Road-650,782.9900,782.99,782.9900,12
Mountain-400-W,769.4900,769.49,769.4900,4
Touring-3000,742.3500,742.35,742.3500,10
ML Road Frame-W,594.8300,594.83,594.8300,5
ML Road Frame,594.8300,594.83,594.8300,5
Mountain-500,564.9900,552.49,539.9900,10
Road-750,539.9900,539.99,539.9900,4
HL Crankset,404.9900,404.99,404.9900,1
ML Mountain Frame-W,364.0900,361.02,348.7600,5
HL Road Rear Wheel,357.0600,357.06,357.0600,1
ML Mountain Frame,348.7600,348.76,348.7600,3
LL Road Frame,337.2200,337.22,337.2200,12
LL Touring Frame,333.4200,333.42,333.4200,10
HL Road Front Wheel,330.0600,330.06,330.0600,1
HL Mountain Rear Wheel,327.2150,327.22,327.2150,1
HL Mountain Front Wheel,300.2150,300.22,300.2150,1
ML Road Rear Wheel,275.3850,275.39,275.3850,1
LL Mountain Frame,264.0500,256.92,249.7900,10
ML Crankset,256.4900,256.49,256.4900,1
ML Road Front Wheel,248.3850,248.39,248.3850,1
Touring Rear Wheel,245.0100,245.01,245.0100,1
ML Mountain Rear Wheel,236.0250,236.03,236.0250,1
HL Fork,229.4900,229.49,229.4900,1
Touring Front Wheel,218.0100,218.01,218.0100,1
ML Mountain Front Wheel,209.0250,209.03,209.0250,1
LL Crankset,175.4900,175.49,175.4900,1
ML Fork,175.4900,175.49,175.4900,1
All-Purpose Bike Stand,159.0000,159.00,159.0000,1
LL Fork,148.2200,148.22,148.2200,1
Touring-Panniers,125.0000,125.00,125.0000,1
HL Headset,124.7300,124.73,124.7300,1
HL Bottom Bracket,121.4900,121.49,121.4900,1
Rear Derailleur,121.4600,121.46,121.4600,1
HL Mountain Handlebars,120.2700,120.27,120.2700,1
HL Road Handlebars,120.2700,120.27,120.2700,1
Hitch Rack - 4-Bike,120.0000,120.00,120.0000,1
LL Road Rear Wheel,112.5650,112.57,112.5650,1
Rear Brakes,106.5000,106.50,106.5000,1
Front Brakes,106.5000,106.50,106.5000,1
ML Headset,102.2900,102.29,102.2900,1
ML Bottom Bracket,101.2400,101.24,101.2400,1
HL Touring Handlebars,91.5700,91.57,91.5700,1
Front Derailleur,91.4900,91.49,91.4900,1
Men's Bib-Shorts,89.9900,89.99,89.9900,3
LL Mountain Rear Wheel,87.7450,87.75,87.7450,1
LL Road Front Wheel,85.5650,85.57,85.5650,1
Touring Pedal,80.9900,80.99,80.9900,1
HL Mountain Pedal,80.9900,80.99,80.9900,1
HL Road Pedal,80.9900,80.99,80.9900,1
Women's Tights,74.9900,74.99,74.9900,3
Women's Mountain Shorts,69.9900,69.99,69.9900,3
Classic Vest,63.5000,63.50,63.5000,3
ML Mountain Pedal,62.0900,62.09,62.0900,1
ML Road Pedal,62.0900,62.09,62.0900,1
ML Road Handlebars,61.9200,61.92,61.9200,1
ML Mountain Handlebars,61.9200,61.92,61.9200,1
LL Mountain Front Wheel,60.7450,60.75,60.7450,1
Men's Sports Shorts,59.9900,59.99,59.9900,4
Hydration Pack,54.9900,54.99,54.9900,1
Short-Sleeve Classic Jersey,53.9900,53.99,53.9900,4
LL Bottom Bracket,53.9900,53.99,53.9900,1
HL Mountain Seat/Saddle 2,52.6400,52.64,52.6400,1
HL Touring Seat/Saddle,52.6400,52.64,52.6400,1
HL Road Seat/Saddle 2,52.6400,52.64,52.6400,1
Long-Sleeve Logo Jersey,49.9900,49.99,49.9900,4
LL Touring Handlebars,46.0900,46.09,46.0900,1
Headlights - Weatherproof,44.9900,44.99,44.9900,1
LL Mountain Handlebars,44.5400,44.54,44.5400,1
LL Road Handlebars,44.5400,44.54,44.5400,1
LL Mountain Pedal,40.4900,40.49,40.4900,1
LL Road Pedal,40.4900,40.49,40.4900,1
ML Mountain Seat/Saddle 2,39.1400,39.14,39.1400,1
ML Touring Seat/Saddle,39.1400,39.14,39.1400,1
ML Road Seat/Saddle 2,39.1400,39.14,39.1400,1
Full-Finger Gloves,37.9900,37.99,37.9900,3
HL Mountain Tire,35.0000,35.00,35.0000,1
Headlights - Dual-Beam,34.9900,34.99,34.9900,1
Sport-100,34.9900,34.99,34.9900,3
LL Headset,34.2000,34.20,34.2000,1
HL Road Tire,32.6000,32.60,32.6000,1
ML Mountain Tire,29.9900,29.99,29.9900,1
Touring Tire,28.9900,28.99,28.9900,1
LL Mountain Seat/Saddle 2,27.1200,27.12,27.1200,1
LL Road Seat/Saddle 1,27.1200,27.12,27.1200,1
LL Touring Seat/Saddle,27.1200,27.12,27.1200,1
Cable Lock,25.0000,25.00,25.0000,1
LL Mountain Tire,24.9900,24.99,24.9900,1
Mountain Pump,24.9900,24.99,24.9900,1
ML Road Tire,24.9900,24.99,24.9900,1
Half-Finger Gloves,24.4900,24.49,24.4900,3
Fender Set - Mountain,21.9800,21.98,21.9800,1
LL Road Tire,21.4900,21.49,21.4900,1
Chain,20.2400,20.24,20.2400,1
Minipump,19.9900,19.99,19.9900,1
Taillight,13.9900,13.99,13.9900,1
Mountain Bottle Cage,9.9900,9.99,9.9900,1
Mountain Bike Socks,9.5000,9.50,9.5000,2
