productmodelid,product_model,max_list_price,average_listprice,twice_average
25,Road-150,3578.2700,438.6662500000000000,877.3325000000000000
20,Mountain-200,2319.9900,438.6662500000000000,877.3325000000000000
28,Road-450,1457.9900,438.6662500000000000,877.3325000000000000
19,Mountain-100,3399.9900,438.6662500000000000,877.3325000000000000
34,Touring-1000,2384.0700,438.6662500000000000,877.3325000000000000
26,Road-250,2443.3500,438.6662500000000000,877.3325000000000000
6,HL Road Frame,1431.5000,438.6662500000000000,877.3325000000000000
21,Mountain-300,1079.9900,438.6662500000000000,877.3325000000000000
5,HL Mountain Frame,1364.5000,438.6662500000000000,877.3325000000000000
27,Road-350-W,1700.9900,438.6662500000000000,877.3325000000000000
35,Touring-2000,1214.8500,438.6662500000000000,877.3325000000000000
7,HL Touring Frame,1003.9100,438.6662500000000000,877.3325000000000000
29,Road-550-W,1120.4900,438.6662500000000000,877.3325000000000000
