businessentityid,quotadate,salesquota,sales_year,quarter,q_rn,q_count
274,2022-05-30,28000.0000,2022,2,1,3
274,2022-08-30,7000.0000,2022,3,2,3
274,2022-11-30,91000.0000,2022,4,3,3
274,2023-02-28,140000.0000,2023,1,1,4
274,2023-05-30,70000.0000,2023,2,2,4
274,2023-08-30,154000.0000,2023,3,3,4
274,2023-11-30,107000.0000,2023,4,4,4
274,2024-02-28,58000.0000,2024,1,1,4
274,2024-05-29,263000.0000,2024,2,2,4
274,2024-08-29,116000.0000,2024,3,3,4
274,2024-11-29,84000.0000,2024,4,4,4
274,2025-02-28,187000.0000,2025,1,1,1
275,2022-05-30,367000.0000,2022,2,1,3
275,2022-08-30,556000.0000,2022,3,2,3
275,2022-11-30,502000.0000,2022,4,3,3
275,2023-02-28,550000.0000,2023,1,1,4
275,2023-05-30,1429000.0000,2023,2,2,4
275,2023-08-30,1324000.0000,2023,3,3,4
275,2023-11-30,729000.0000,2023,4,4,4
275,2024-02-28,1194000.0000,2024,1,1,4
275,2024-05-29,1575000.0000,2024,2,2,4
275,2024-08-29,1218000.0000,2024,3,3,4
275,2024-11-29,849000.0000,2024,4,4,4
275,2025-02-28,869000.0000,2025,1,1,1
