table_name,table_schema
address,person
addresstype,person
billofmaterials,production
businessentity,person
businessentityaddress,person
businessentitycontact,person
contacttype,person
countryregion,person
countryregioncurrency,sales
creditcard,sales
culture,production
currency,sales
currencyrate,sales
customer,sales
department,humanresources
document,production
emailaddress,person
employee,humanresources
employeedepartmenthistory,humanresources
employeepayhistory,humanresources
illustration,production
jobcandidate,humanresources
location,production
password,person
person,person
personcreditcard,sales
personphone,person
phonenumbertype,person
product,production
productcategory,production
productcosthistory,production
productdescription,production
productdocument,production
productinventory,production
productlistpricehistory,production
productmodel,production
productmodelillustration,production
productmodelproductdescriptionculture,production
productphoto,production
productproductphoto,production
productreview,production
productsubcategory,production
productvendor,purchasing
purchaseorderdetail,purchasing
purchaseorderheader,purchasing
salesorderdetail,sales
salesorderheader,sales
salesorderheadersalesreason,sales
salesperson,sales
salespersonquotahistory,sales
salesreason,sales
salestaxrate,sales
salesterritory,sales
salesterritoryhistory,sales
scrapreason,production
shift,humanresources
shipmethod,purchasing
shoppingcartitem,sales
specialoffer,sales
specialofferproduct,sales
stateprovince,person
store,sales
transactionhistory,production
transactionhistoryarchive,production
unitmeasure,production
vendor,purchasing
workorder,production
workorderrouting,production
