table_schema,table_name
humanresources,employeenameview
person,address
pg_catalog,pg_statistic
pg_catalog,pg_type
person,stateprovince
person,businessentityaddress
person,addresstype
person,businessentity
person,person
person,businessentitycontact
person,contacttype
person,emailaddress
person,password
person,phonenumbertype
pg_catalog,pg_foreign_table
person,countryregion
humanresources,employee
humanresources,department
humanresources,employeedepartmenthistory
person,personphone
pg_catalog,pg_authid
pg_catalog,pg_shadow
humanresources,employeepayhistory
pg_catalog,pg_roles
humanresources,jobcandidate
production,document
production,billofmaterials
pg_catalog,pg_statistic_ext_data
pg_catalog,pg_hba_file_rules
pg_catalog,pg_settings
pg_catalog,pg_file_settings
pg_catalog,pg_backend_memory_contexts
pg_catalog,pg_ident_file_mappings
pg_catalog,pg_config
pg_catalog,pg_shmem_allocations
humanresources,shift
production,productsubcategory
production,culture
production,productcategory
pg_catalog,pg_tables
production,productdescription
production,productmodel
production,product
production,productcosthistory
production,productdocument
production,location
production,productinventory
pg_catalog,pg_user_mapping
pg_catalog,pg_replication_origin_status
pg_catalog,pg_subscription
