product_model_name,max_list_price,avg_list_price,min_list_price,product_count,max_to_avg_ratio
LL Mountain Frame,264.0500,256.92,249.7900,10,1.03
Mountain-500,564.9900,552.49,539.9900,10,1.02
ML Mountain Frame-W,364.0900,361.02,348.7600,5,1.01
Mountain-200,2319.9900,2307.49,2294.9900,6,1.01
HL Mountain Frame,1364.5000,1357.05,1349.6000,10,1.01
Road-650,782.9900,782.99,782.9900,12,1.00
Mountain-300,1079.9900,1079.99,1079.9900,4,1.00
Full-Finger Gloves,37.9900,37.99,37.9900,3,1.00
ML Road Frame-W,594.8300,594.83,594.8300,5,1.00
Women's Mountain Shorts,69.9900,69.99,69.9900,3,1.00
Road-450,1457.9900,1457.99,1457.9900,5,1.00
Road-550-W,1120.4900,1120.49,1120.4900,5,1.00
Half-Finger Gloves,24.4900,24.49,24.4900,3,1.00
Touring-1000,2384.0700,2384.07,2384.0700,8,1.00
LL Touring Frame,333.4200,333.42,333.4200,10,1.00
Touring-2000,1214.8500,1214.85,1214.8500,4,1.00
Mountain-400-W,769.4900,769.49,769.4900,4,1.00
Touring-3000,742.3500,742.35,742.3500,10,1.00
Road-750,539.9900,539.99,539.9900,4,1.00
ML Mountain Frame,348.7600,348.76,348.7600,3,1.00
Men's Sports Shorts,59.9900,59.99,59.9900,4,1.00
ML Road Frame,594.8300,594.83,594.8300,5,1.00
Short-Sleeve Classic Jersey,53.9900,53.99,53.9900,4,1.00
HL Touring Frame,1003.9100,1003.91,1003.9100,8,1.00
Women's Tights,74.9900,74.99,74.9900,3,1.00
Men's Bib-Shorts,89.9900,89.99,89.9900,3,1.00
Racing Socks,8.9900,8.99,8.9900,2,1.00
Road-150,3578.2700,3578.27,3578.2700,5,1.00
Sport-100,34.9900,34.99,34.9900,3,1.00
Classic Vest,63.5000,63.50,63.5000,3,1.00
Mountain Bike Socks,9.5000,9.50,9.5000,2,1.00
Road-350-W,1700.9900,1700.99,1700.9900,4,1.00
HL Road Frame,1431.5000,1431.50,1431.5000,11,1.00
Long-Sleeve Logo Jersey,49.9900,49.99,49.9900,4,1.00
LL Road Frame,337.2200,337.22,337.2200,12,1.00
Road-250,2443.3500,2443.35,2443.3500,8,1.00
Mountain-100,3399.9900,3387.49,3374.9900,8,1.00
