businessentityid,sales_year,quarter,salesquota
274,2022,2,28000.0000
274,2022,3,7000.0000
274,2022,4,91000.0000
274,2023,1,140000.0000
274,2023,2,70000.0000
274,2023,3,154000.0000
274,2023,4,107000.0000
274,2024,1,58000.0000
274,2024,2,263000.0000
274,2024,3,116000.0000
274,2024,4,84000.0000
274,2025,1,187000.0000
275,2022,2,367000.0000
275,2022,3,556000.0000
275,2022,4,502000.0000
275,2023,1,550000.0000
275,2023,2,1429000.0000
275,2023,3,1324000.0000
275,2023,4,729000.0000
275,2024,1,1194000.0000
275,2024,2,1575000.0000
275,2024,3,1218000.0000
275,2024,4,849000.0000
275,2025,1,869000.0000
