table_name,column_name,data_type
salestaxrate,salestaxrateid,integer
salestaxrate,stateprovinceid,integer
salestaxrate,taxtype,smallint
salestaxrate,taxrate,numeric
salestaxrate,name,character varying
salestaxrate,rowguid,uuid
salestaxrate,modifieddate,timestamp without time zone
salesterritory,territoryid,integer
salesterritory,name,character varying
salesterritory,countryregioncode,character varying
salesterritory,group,character varying
salesterritory,salesytd,numeric
salesterritory,saleslastyear,numeric
salesterritory,costytd,numeric
salesterritory,costlastyear,numeric
salesterritory,rowguid,uuid
salesterritory,modifieddate,timestamp without time zone
salesterritoryhistory,businessentityid,integer
salesterritoryhistory,territoryid,integer
salesterritoryhistory,startdate,timestamp without time zone
salesterritoryhistory,enddate,timestamp without time zone
salesterritoryhistory,rowguid,uuid
salesterritoryhistory,modifieddate,timestamp without time zone
