table_schema,table_name
pr,l
pr,p
pr,pc
pr,pch
pr,pd
pr,pdoc
pr,pi
pr,plph
pr,pm
pr,pmi
pr,pmpdc
pr,pp
pr,ppp
pr,pr
pr,psc
pr,sr
pr,th
pr,tha
pr,um
pr,w
pr,wr
production,billofmaterials
production,culture
production,document
production,illustration
production,location
production,product
production,productcategory
production,productcosthistory
production,productdescription
production,productdocument
production,productinventory
production,productlistpricehistory
production,productmodel
production,productmodelillustration
production,productmodelproductdescriptionculture
production,productphoto
production,productproductphoto
production,productreview
production,productsubcategory
production,scrapreason
production,transactionhistory
production,transactionhistoryarchive
production,unitmeasure
production,vproductmodelcatalogdescription
production,vproductmodelinstructions
production,workorder
production,workorderrouting
pu,pod
pu,poh
pu,pv
pu,sm
pu,v
purchasing,productvendor
purchasing,purchaseorderdetail
purchasing,purchaseorderheader
purchasing,shipmethod
purchasing,vendor
purchasing,vvendorwithaddresses
purchasing,vvendorwithcontacts
sa,c
sa,cc
sa,cr
sa,crc
sa,cu
sa,pcc
sa,s
sa,sci
sa,so
sa,sod
sa,soh
sa,sohsr
sa,sop
sa,sp
sa,spqh
sa,sr
sa,st
sa,sth
sa,tr
sales,countryregioncurrency
sales,creditcard
sales,currency
sales,currencyrate
sales,customer
sales,personcreditcard
sales,salesorderdetail
sales,salesorderheader
sales,salesorderheadersalesreason
sales,salesperson
sales,salespersonquotahistory
sales,salesreason
sales,salestaxrate
sales,salesterritory
sales,salesterritoryhistory
sales,shoppingcartitem
sales,specialoffer
sales,specialofferproduct
sales,store
sales,vindividualcustomer
sales,vpersondemographics
sales,vsalesperson
sales,vsalespersonsalesbyfiscalyears
sales,vsalespersonsalesbyfiscalyearsdata
sales,vstorewithaddresses
sales,vstorewithcontacts
sales,vstorewithdemographics
