businessentityid,territoryid,salesquota,bonus,commissionpct,salesytd,saleslastyear,newdate
274,,,0.0000,0.0000,559697.5639,0.0000,2026-04-27
275,2.0,300000.0000,4100.0000,0.0120,3763178.1787,1750406.4785,2026-04-27
276,4.0,250000.0000,2000.0000,0.0150,4251368.5497,1439156.0291,2026-04-27
277,3.0,250000.0000,2500.0000,0.0150,3189418.3662,1997186.2037,2026-04-27
278,6.0,250000.0000,500.0000,0.0100,1453719.4653,1620276.8966,2026-04-27
279,5.0,300000.0000,6700.0000,0.0100,2315185.6110,1849640.9418,2026-04-27
280,1.0,250000.0000,5000.0000,0.0100,1352577.1325,1927059.1780,2026-04-27
281,4.0,250000.0000,3550.0000,0.0100,2458535.6169,2073505.9999,2026-04-27
282,6.0,250000.0000,5000.0000,0.0150,2604540.7172,2038234.6549,2026-04-27
283,1.0,250000.0000,3500.0000,0.0120,1573012.9383,1371635.3158,2026-04-27
284,1.0,300000.0000,3900.0000,0.0190,1576562.1966,0.0000,2026-04-27
285,,,0.0000,0.0000,172524.4512,0.0000,2026-04-27
286,9.0,250000.0000,5650.0000,0.0180,1421810.9242,2278548.9776,2026-04-27
287,,,0.0000,0.0000,519905.9320,0.0000,2026-04-27
288,8.0,250000.0000,75.0000,0.0180,1827066.7118,1307949.7917,2026-04-27
289,10.0,250000.0000,5150.0000,0.0200,4116871.2277,1635823.3967,2026-04-27
290,7.0,250000.0000,985.0000,0.0160,3121616.3202,2396539.7601,2026-04-27
