table_name,column_name,data_type
salesorderdetail,salesorderid,integer
salesorderdetail,salesorderdetailid,integer
salesorderdetail,carriertrackingnumber,character varying
salesorderdetail,orderqty,smallint
salesorderdetail,productid,integer
salesorderdetail,specialofferid,integer
salesorderdetail,unitprice,numeric
salesorderdetail,unitpricediscount,numeric
salesorderdetail,rowguid,uuid
salesorderdetail,modifieddate,timestamp without time zone
salesorderheader,salesorderid,integer
salesorderheader,revisionnumber,smallint
salesorderheader,orderdate,timestamp without time zone
salesorderheader,duedate,timestamp without time zone
salesorderheader,shipdate,timestamp without time zone
salesorderheader,status,smallint
salesorderheader,onlineorderflag,boolean
salesorderheader,purchaseordernumber,character varying
salesorderheader,accountnumber,character varying
salesorderheader,customerid,integer
salesorderheader,salespersonid,integer
salesorderheader,territoryid,integer
salesorderheader,billtoaddressid,integer
salesorderheader,shiptoaddressid,integer
salesorderheader,shipmethodid,integer
salesorderheader,creditcardid,integer
salesorderheader,creditcardapprovalcode,character varying
salesorderheader,currencyrateid,integer
salesorderheader,subtotal,numeric
salesorderheader,taxamt,numeric
salesorderheader,freight,numeric
salesorderheader,totaldue,numeric
salesorderheader,comment,character varying
salesorderheader,rowguid,uuid
salesorderheader,modifieddate,timestamp without time zone
salesperson,businessentityid,integer
salesperson,territoryid,integer
salesperson,salesquota,numeric
salesperson,bonus,numeric
salesperson,commissionpct,numeric
salesperson,salesytd,numeric
salesperson,saleslastyear,numeric
salesperson,rowguid,uuid
salesperson,modifieddate,timestamp without time zone
