table_schema,table_name
pu,pv
pu,sm
pu,v
purchasing,productvendor
purchasing,purchaseorderdetail
purchasing,purchaseorderheader
purchasing,shipmethod
purchasing,vendor
purchasing,vvendorwithaddresses
purchasing,vvendorwithcontacts
sa,c
sa,cc
sa,cr
sa,crc
sa,cu
sa,pcc
sa,s
sa,sci
sa,so
sa,sod
sa,soh
sa,sohsr
sa,sop
sa,sp
sa,spqh
sa,sr
sa,st
sa,sth
sa,tr
sales,countryregioncurrency
sales,creditcard
sales,currency
sales,currencyrate
sales,customer
sales,personcreditcard
sales,salesorderdetail
sales,salesorderheader
sales,salesorderheadersalesreason
sales,salesperson
sales,salespersonquotahistory
sales,salesreason
sales,salestaxrate
sales,salesterritory
sales,salesterritoryhistory
sales,shoppingcartitem
sales,specialoffer
sales,specialofferproduct
sales,store
sales,vindividualcustomer
sales,vpersondemographics
