table_schema,table_name
humanresources,employee
humanresources,employeedepartmenthistory
humanresources,employeenameview
humanresources,employeepayhistory
humanresources,vemployee
humanresources,vemployeedepartment
humanresources,vemployeedepartmenthistory
person,address
person,addresstype
person,businessentityaddress
person,emailaddress
person,person
person,personphone
purchasing,vvendorwithaddresses
sales,personcreditcard
sales,salesperson
sales,salespersonquotahistory
sales,vpersondemographics
sales,vsalesperson
sales,vsalespersonsalesbyfiscalyears
sales,vsalespersonsalesbyfiscalyearsdata
sales,vstorewithaddresses
