department,businessentityid,rate,cume_dist,percent_rank
Document Control,217,17.7885,1.0,1.0
Document Control,218,16.8269,0.8,0.5
Document Control,221,16.8269,0.8,0.5
Document Control,219,10.2500,0.4,0.0
Document Control,220,10.2500,0.4,0.0
Information Services,263,50.4808,1.0,1.0
Information Services,264,39.6635,0.9,0.8888888888888888
Information Services,270,38.4615,0.8,0.6666666666666666
Information Services,271,38.4615,0.8,0.6666666666666666
Information Services,265,32.4519,0.6,0.4444444444444444
Information Services,266,32.4519,0.6,0.4444444444444444
Information Services,272,27.4038,0.4,0.0
Information Services,268,27.4038,0.4,0.0
Information Services,269,27.4038,0.4,0.0
Information Services,267,27.4038,0.4,0.0
