table_schema,table_name
hr,d
hr,e
hr,edh
hr,eph
hr,jc
hr,s
humanresources,department
humanresources,employee
humanresources,employeedepartmenthistory
humanresources,employeenameview
humanresources,employeepayhistory
humanresources,jobcandidate
humanresources,shift
humanresources,vemployee
humanresources,vemployeedepartment
humanresources,vemployeedepartmenthistory
humanresources,vjobcandidate
humanresources,vjobcandidateeducation
humanresources,vjobcandidateemployment
pe,a
pe,at
pe,be
pe,bea
pe,bec
pe,cr
pe,ct
pe,e
pe,p
pe,pa
pe,pnt
pe,pp
pe,sp
person,address
person,addresstype
person,businessentity
person,businessentityaddress
person,businessentitycontact
person,contacttype
person,countryregion
person,emailaddress
person,password
person,person
person,personphone
person,phonenumbertype
person,stateprovince
person,vadditionalcontactinfo
pr,bom
pr,c
pr,d
pr,i
