businessentityid,quotadate,salesquota,rowguid,modifieddate
274,2022-05-30,28000.0000,99109bbf-8693-4587-bc23-6036ec89e1be,2022-04-15
274,2022-08-30,7000.0000,dfd01444-8900-461c-8d6f-04598dae01d4,2022-07-16
274,2022-11-30,91000.0000,0a69f453-9689-4ccf-a08c-c644670f5668,2022-10-16
274,2023-02-28,140000.0000,da8d1458-5fb9-4c3e-9ead-8f5ce1393047,2023-01-14
274,2023-05-30,70000.0000,760cef84-b980-417b-a667-7358c38857f0,2023-04-15
274,2023-08-30,154000.0000,fb29e024-f26a-49aa-a7cc-c99ae7ba4853,2023-07-16
274,2023-11-30,107000.0000,13947d2c-a254-47c9-8817-cbd186ffa526,2023-10-16
274,2024-02-28,58000.0000,bc1a222f-47a0-48d1-9c56-ac873269dc98,2024-01-14
274,2024-05-29,263000.0000,8b4e3cbf-f0ef-49c5-9a8c-87679055057e,2024-04-14
274,2024-08-29,116000.0000,e9de95e3-b119-4441-bd1d-b27fc4516022,2024-07-15
274,2024-11-29,84000.0000,7cea47b5-8391-4414-a866-ff6ec6628cd3,2024-10-15
274,2025-02-28,187000.0000,0cfb6474-20aa-46d3-a5c0-29dba2eda025,2025-01-14
275,2022-05-30,367000.0000,5f7e9647-3f08-49b0-a4a4-90257fc78197,2022-04-15
275,2022-08-30,556000.0000,87ac1fb7-a3c5-43a6-90aa-2d09ae00148a,2022-07-16
275,2022-11-30,502000.0000,52849f15-2fc4-4154-894d-1e3d3daea181,2022-10-16
275,2023-02-28,550000.0000,c69b67db-f35f-4dad-a8a8-c4d074ad17db,2023-01-14
275,2023-05-30,1429000.0000,ace52ebf-5328-4b20-951f-f7323f0d3a56,2023-04-15
275,2023-08-30,1324000.0000,59fd606c-22ff-4f43-951b-74fca7758ede,2023-07-16
275,2023-11-30,729000.0000,a2907d41-6271-43d5-8439-dffeb6b963fa,2023-10-16
275,2024-02-28,1194000.0000,08270720-0537-4f0e-ba15-375ec0660f31,2024-01-14
275,2024-05-29,1575000.0000,aa3c8a00-6590-497e-80f6-075bb947e025,2024-04-14
275,2024-08-29,1218000.0000,12aac834-ab2f-4e84-b85d-08839670c198,2024-07-15
275,2024-11-29,849000.0000,118f1fc6-7b7e-4588-90b0-f08ba349dbe7,2024-10-15
275,2025-02-28,869000.0000,1290b655-35f4-4447-a4c5-1385f62fef4d,2025-01-14
