table_schema,table_name
humanresources,employeenameview
person,address
person,stateprovince
person,businessentityaddress
person,addresstype
person,businessentity
person,person
person,businessentitycontact
person,contacttype
person,emailaddress
person,password
person,phonenumbertype
person,countryregion
humanresources,employee
humanresources,department
humanresources,employeedepartmenthistory
person,personphone
humanresources,employeepayhistory
production,billofmaterials
humanresources,jobcandidate
production,document
humanresources,shift
production,productsubcategory
production,culture
production,productcategory
production,product
production,productdescription
production,productmodel
production,productcosthistory
production,productdocument
production,location
production,productinventory
production,illustration
production,productmodelproductdescriptionculture
production,productmodelillustration
production,productphoto
production,productproductphoto
production,productreview
production,unitmeasure
purchasing,purchaseorderheader
production,transactionhistoryarchive
purchasing,productvendor
purchasing,purchaseorderdetail
purchasing,shipmethod
production,transactionhistory
production,workorder
production,scrapreason
production,workorderrouting
sales,countryregioncurrency
sales,currency
