table_schema,table_name
hr,d
hr,e
hr,edh
hr,eph
hr,jc
hr,s
humanresources,department
humanresources,employee
humanresources,employeedepartmenthistory
humanresources,employeenameview
humanresources,employeepayhistory
humanresources,jobcandidate
humanresources,shift
humanresources,vemployee
humanresources,vemployeedepartment
humanresources,vemployeedepartmenthistory
humanresources,vjobcandidate
humanresources,vjobcandidateeducation
humanresources,vjobcandidateemployment
information_schema,_pg_foreign_data_wrappers
information_schema,_pg_foreign_servers
information_schema,_pg_foreign_table_columns
information_schema,_pg_foreign_tables
information_schema,_pg_user_mappings
information_schema,administrable_role_authorizations
information_schema,applicable_roles
information_schema,attributes
information_schema,character_sets
information_schema,check_constraint_routine_usage
information_schema,check_constraints
information_schema,collation_character_set_applicability
information_schema,collations
information_schema,column_column_usage
information_schema,column_domain_usage
information_schema,column_options
information_schema,column_privileges
information_schema,column_udt_usage
information_schema,columns
information_schema,constraint_column_usage
information_schema,constraint_table_usage
information_schema,data_type_privileges
information_schema,domain_constraints
information_schema,domain_udt_usage
information_schema,domains
information_schema,element_types
information_schema,enabled_roles
information_schema,foreign_data_wrapper_options
information_schema,foreign_data_wrappers
information_schema,foreign_server_options
information_schema,foreign_servers
information_schema,foreign_table_options
information_schema,foreign_tables
information_schema,information_schema_catalog_name
information_schema,key_column_usage
information_schema,parameters
information_schema,referential_constraints
information_schema,role_column_grants
information_schema,role_routine_grants
information_schema,role_table_grants
information_schema,role_udt_grants
information_schema,role_usage_grants
information_schema,routine_column_usage
information_schema,routine_privileges
information_schema,routine_routine_usage
information_schema,routine_sequence_usage
information_schema,routine_table_usage
information_schema,routines
information_schema,schemata
information_schema,sequences
information_schema,sql_features
information_schema,sql_implementation_info
information_schema,sql_parts
information_schema,sql_sizing
information_schema,table_constraints
information_schema,table_privileges
information_schema,tables
information_schema,transforms
information_schema,triggered_update_columns
information_schema,triggers
information_schema,udt_privileges
information_schema,usage_privileges
information_schema,user_defined_types
information_schema,user_mapping_options
information_schema,user_mappings
information_schema,view_column_usage
information_schema,view_routine_usage
information_schema,view_table_usage
information_schema,views
pe,a
pe,at
pe,be
pe,bea
pe,bec
pe,cr
pe,ct
pe,e
pe,p
pe,pa
pe,pnt
pe,pp
pe,sp
person,address
person,addresstype
person,businessentity
person,businessentityaddress
person,businessentitycontact
person,contacttype
person,countryregion
person,emailaddress
person,password
person,person
person,personphone
person,phonenumbertype
person,stateprovince
person,vadditionalcontactinfo
pr,bom
pr,c
pr,d
pr,i
pr,l
pr,p
pr,pc
pr,pch
pr,pd
pr,pdoc
pr,pi
pr,plph
pr,pm
pr,pmi
pr,pmpdc
pr,pp
pr,ppp
pr,pr
pr,psc
pr,sr
pr,th
pr,tha
pr,um
pr,w
pr,wr
production,billofmaterials
production,culture
production,document
production,illustration
production,location
production,product
production,productcategory
production,productcosthistory
production,productdescription
production,productdocument
production,productinventory
production,productlistpricehistory
production,productmodel
production,productmodelillustration
production,productmodelproductdescriptionculture
production,productphoto
production,productproductphoto
production,productreview
production,productsubcategory
production,scrapreason
production,transactionhistory
production,transactionhistoryarchive
production,unitmeasure
production,vproductmodelcatalogdescription
production,vproductmodelinstructions
production,workorder
production,workorderrouting
pu,pod
pu,poh
pu,pv
pu,sm
pu,v
purchasing,productvendor
purchasing,purchaseorderdetail
purchasing,purchaseorderheader
purchasing,shipmethod
purchasing,vendor
purchasing,vvendorwithaddresses
purchasing,vvendorwithcontacts
sa,c
sa,cc
sa,cr
sa,crc
sa,cu
sa,pcc
sa,s
sa,sci
sa,so
sa,sod
sa,soh
sa,sohsr
sa,sop
sa,sp
sa,spqh
sa,sr
sa,st
sa,sth
sa,tr
sales,countryregioncurrency
sales,creditcard
sales,currency
sales,currencyrate
sales,customer
sales,personcreditcard
sales,salesorderdetail
sales,salesorderheader
sales,salesorderheadersalesreason
sales,salesperson
sales,salespersonquotahistory
sales,salesreason
sales,salestaxrate
sales,salesterritory
sales,salesterritoryhistory
sales,shoppingcartitem
sales,specialoffer
sales,specialofferproduct
sales,store
sales,vindividualcustomer
sales,vpersondemographics
sales,vsalesperson
sales,vsalespersonsalesbyfiscalyears
sales,vsalespersonsalesbyfiscalyearsdata
sales,vstorewithaddresses
sales,vstorewithcontacts
sales,vstorewithdemographics
