salesperson_id,newdate,sales_value
280,2026-04-27,3325102.5941
283,2026-04-27,3729945.3490
287,2026-04-27,732759.1841
285,2026-04-27,172524.4512
288,2026-04-27,1827066.7118
286,2026-04-27,1421810.9242
279,2026-04-27,7171012.7501
277,2026-04-27,10065803.5404
290,2026-04-27,4509888.9311
289,2026-04-27,8503338.6457
275,2026-04-27,9293903.0046
284,2026-04-27,2312545.6900
278,2026-04-27,3609447.2148
274,2026-04-27,1092123.8561
282,2026-04-27,5926418.3555
281,2026-04-27,6427005.5540
276,2026-04-27,10367007.4265
