table_name,table_schema
a,pe
address,person
addresstype,person
at,pe
be,pe
bea,pe
bec,pe
billofmaterials,production
bom,pr
businessentity,person
businessentityaddress,person
businessentitycontact,person
c,pr
c,sa
cc,sa
contacttype,person
countryregion,person
countryregioncurrency,sales
cr,pe
cr,sa
crc,sa
creditcard,sales
ct,pe
cu,sa
culture,production
currency,sales
currencyrate,sales
customer,sales
d,pr
d,hr
department,humanresources
document,production
e,pe
e,hr
edh,hr
emailaddress,person
employee,humanresources
employeedepartmenthistory,humanresources
employeenameview,humanresources
employeepayhistory,humanresources
eph,hr
i,pr
illustration,production
jc,hr
jobcandidate,humanresources
l,pr
location,production
p,pr
p,pe
pa,pe
password,person
pc,pr
pcc,sa
pch,pr
pd,pr
pdoc,pr
person,person
personcreditcard,sales
personphone,person
phonenumbertype,person
pi,pr
plph,pr
pm,pr
pmi,pr
pmpdc,pr
pnt,pe
pod,pu
poh,pu
pp,pe
pp,pr
ppp,pr
pr,pr
product,production
productcategory,production
productcosthistory,production
productdescription,production
productdocument,production
productinventory,production
productlistpricehistory,production
productmodel,production
productmodelillustration,production
productmodelproductdescriptionculture,production
productphoto,production
productproductphoto,production
productreview,production
productsubcategory,production
productvendor,purchasing
psc,pr
purchaseorderdetail,purchasing
purchaseorderheader,purchasing
pv,pu
s,sa
s,hr
salesorderdetail,sales
salesorderheader,sales
salesorderheadersalesreason,sales
salesperson,sales
salespersonquotahistory,sales
salesreason,sales
salestaxrate,sales
salesterritory,sales
salesterritoryhistory,sales
sci,sa
scrapreason,production
shift,humanresources
shipmethod,purchasing
shoppingcartitem,sales
sm,pu
so,sa
sod,sa
soh,sa
sohsr,sa
sop,sa
sp,sa
sp,pe
specialoffer,sales
specialofferproduct,sales
spqh,sa
sr,pr
sr,sa
st,sa
stateprovince,person
sth,sa
store,sales
th,pr
tha,pr
tr,sa
transactionhistory,production
transactionhistoryarchive,production
um,pr
unitmeasure,production
v,pu
vadditionalcontactinfo,person
vemployee,humanresources
vemployeedepartment,humanresources
vemployeedepartmenthistory,humanresources
vendor,purchasing
vindividualcustomer,sales
vjobcandidate,humanresources
vjobcandidateeducation,humanresources
vjobcandidateemployment,humanresources
vpersondemographics,sales
vproductmodelcatalogdescription,production
vproductmodelinstructions,production
vsalesperson,sales
vsalespersonsalesbyfiscalyears,sales
vsalespersonsalesbyfiscalyearsdata,sales
vstorewithaddresses,sales
vstorewithcontacts,sales
vstorewithdemographics,sales
vvendorwithaddresses,purchasing
vvendorwithcontacts,purchasing
w,pr
workorder,production
workorderrouting,production
wr,pr
