table_schema,table_name
humanresources,employeenameview
humanresources,employee
humanresources,employeedepartmenthistory
humanresources,employeepayhistory
humanresources,vemployee
humanresources,vemployeedepartment
humanresources,vemployeedepartmenthistory
sales,salespersonquotahistory
sales,salesorderheader
sales,salesorderdetail
sales,salesperson
sales,salesorderheadersalesreason
sales,salesterritory
sales,salestaxrate
sales,salesreason
sales,salesterritoryhistory
sales,vsalesperson
sales,vsalespersonsalesbyfiscalyearsdata
sales,vsalespersonsalesbyfiscalyears
