column_name,data_type,table_name,table_schema
businessentityid,integer,employee,humanresources
nationalidnumber,character varying,employee,humanresources
loginid,character varying,employee,humanresources
jobtitle,character varying,employee,humanresources
birthdate,date,employee,humanresources
maritalstatus,character,employee,humanresources
gender,character,employee,humanresources
hiredate,date,employee,humanresources
salariedflag,boolean,employee,humanresources
vacationhours,smallint,employee,humanresources
sickleavehours,smallint,employee,humanresources
currentflag,boolean,employee,humanresources
rowguid,uuid,employee,humanresources
modifieddate,timestamp without time zone,employee,humanresources
organizationnode,character varying,employee,humanresources
businessentityid,integer,employeenameview,humanresources
lastname,text,employeenameview,humanresources
businessentityid,integer,vemployee,humanresources
title,character varying,vemployee,humanresources
firstname,character varying,vemployee,humanresources
middlename,character varying,vemployee,humanresources
lastname,character varying,vemployee,humanresources
suffix,character varying,vemployee,humanresources
jobtitle,character varying,vemployee,humanresources
phonenumber,character varying,vemployee,humanresources
phonenumbertype,character varying,vemployee,humanresources
emailaddress,character varying,vemployee,humanresources
emailpromotion,integer,vemployee,humanresources
addressline1,character varying,vemployee,humanresources
addressline2,character varying,vemployee,humanresources
city,character varying,vemployee,humanresources
stateprovincename,character varying,vemployee,humanresources
postalcode,character varying,vemployee,humanresources
countryregionname,character varying,vemployee,humanresources
additionalcontactinfo,xml,vemployee,humanresources
salesorderid,integer,salesorderheader,sales
revisionnumber,smallint,salesorderheader,sales
orderdate,timestamp without time zone,salesorderheader,sales
duedate,timestamp without time zone,salesorderheader,sales
shipdate,timestamp without time zone,salesorderheader,sales
status,smallint,salesorderheader,sales
onlineorderflag,boolean,salesorderheader,sales
purchaseordernumber,character varying,salesorderheader,sales
accountnumber,character varying,salesorderheader,sales
customerid,integer,salesorderheader,sales
salespersonid,integer,salesorderheader,sales
territoryid,integer,salesorderheader,sales
billtoaddressid,integer,salesorderheader,sales
shiptoaddressid,integer,salesorderheader,sales
shipmethodid,integer,salesorderheader,sales
creditcardid,integer,salesorderheader,sales
creditcardapprovalcode,character varying,salesorderheader,sales
currencyrateid,integer,salesorderheader,sales
subtotal,numeric,salesorderheader,sales
taxamt,numeric,salesorderheader,sales
freight,numeric,salesorderheader,sales
totaldue,numeric,salesorderheader,sales
comment,character varying,salesorderheader,sales
rowguid,uuid,salesorderheader,sales
modifieddate,timestamp without time zone,salesorderheader,sales
businessentityid,integer,salesperson,sales
territoryid,integer,salesperson,sales
salesquota,numeric,salesperson,sales
bonus,numeric,salesperson,sales
commissionpct,numeric,salesperson,sales
salesytd,numeric,salesperson,sales
saleslastyear,numeric,salesperson,sales
rowguid,uuid,salesperson,sales
modifieddate,timestamp without time zone,salesperson,sales
