businessentityid,salesytd,saleslastyear,newdate
274,559697.5639,0.0000,2026-04-28
275,3763178.1787,1750406.4785,2026-04-28
276,4251368.5497,1439156.0291,2026-04-28
277,3189418.3662,1997186.2037,2026-04-28
278,1453719.4653,1620276.8966,2026-04-28
279,2315185.6110,1849640.9418,2026-04-28
280,1352577.1325,1927059.1780,2026-04-28
281,2458535.6169,2073505.9999,2026-04-28
282,2604540.7172,2038234.6549,2026-04-28
283,1573012.9383,1371635.3158,2026-04-28
284,1576562.1966,0.0000,2026-04-28
285,172524.4512,0.0000,2026-04-28
286,1421810.9242,2278548.9776,2026-04-28
287,519905.9320,0.0000,2026-04-28
288,1827066.7118,1307949.7917,2026-04-28
289,4116871.2277,1635823.3967,2026-04-28
290,3121616.3202,2396539.7601,2026-04-28
