table_schema,table_name,column_name,data_type
pr,i,id,integer
pr,i,illustrationid,integer
pr,i,diagram,xml
pr,i,modifieddate,timestamp without time zone
pr,l,id,integer
pr,l,locationid,integer
pr,l,name,character varying
pr,l,costrate,numeric
pr,l,availability,numeric
pr,l,modifieddate,timestamp without time zone
pr,p,id,integer
pr,p,productid,integer
pr,p,name,character varying
pr,p,productnumber,character varying
pr,p,makeflag,boolean
pr,p,finishedgoodsflag,boolean
pr,p,color,character varying
pr,p,safetystocklevel,smallint
pr,p,reorderpoint,smallint
pr,p,standardcost,numeric
pr,p,listprice,numeric
pr,p,size,character varying
pr,p,sizeunitmeasurecode,character
pr,p,weightunitmeasurecode,character
pr,p,weight,numeric
pr,p,daystomanufacture,integer
pr,p,productline,character
pr,p,class,character
pr,p,style,character
pr,p,productsubcategoryid,integer
pr,p,productmodelid,integer
pr,p,sellstartdate,timestamp without time zone
pr,p,sellenddate,timestamp without time zone
pr,p,discontinueddate,timestamp without time zone
pr,p,rowguid,uuid
pr,p,modifieddate,timestamp without time zone
