businessentityid,jobtitle,vacationhours,employee_with_fewest_vacation_hours,fewest_vacation_hours
245,Accountant,58,245,58
248,Accountant,59,245,58
241,Accounts Manager,57,241,57
246,Accounts Payable Specialist,63,246,63
247,Accounts Payable Specialist,64,246,63
242,Accounts Receivable Specialist,60,242,60
243,Accounts Receivable Specialist,61,242,60
244,Accounts Receivable Specialist,62,242,60
272,Application Specialist,71,272,71
269,Application Specialist,72,272,71
268,Application Specialist,73,272,71
267,Application Specialist,74,272,71
262,Assistant to the Chief Financial Officer,56,262,56
239,Benefits Specialist,51,239,51
255,Buyer,52,255,52
258,Buyer,53,255,52
257,Buyer,54,255,52
259,Buyer,55,255,52
253,Buyer,56,255,52
254,Buyer,57,255,52
256,Buyer,58,255,52
251,Buyer,59,255,52
252,Buyer,60,255,52
1,Chief Executive Officer,99,1,99
234,Chief Financial Officer,0,234,0
221,Control Specialist,75,221,75
218,Control Specialist,76,221,75
271,Database Administrator,66,271,66
270,Database Administrator,67,271,66
15,Design Engineer,4,15,4
5,Design Engineer,5,15,4
6,Design Engineer,6,15,4
219,Document Control Assistant,78,219,78
220,Document Control Assistant,79,219,78
217,Document Control Manager,77,217,77
3,Engineering Manager,2,3,2
287,European Sales Manager,21,287,21
233,Facilities Administrative Assistant,87,233,87
227,Facilities Manager,86,227,86
249,Finance Manager,55,249,55
237,Human Resources Administrative Assistant,52,237,52
236,Human Resources Administrative Assistant,53,237,52
235,Human Resources Manager,54,235,54
263,Information Services Manager,65,263,65
230,Janitor,88,230,88
232,Janitor,89,230,88
229,Janitor,90,230,88
231,Janitor,91,230,88
228,Maintenance Supervisor,92,228,92
20,Marketing Assistant,41,20,41
17,Marketing Assistant,42,20,41
19,Marketing Assistant,43,20,41
16,Marketing Manager,40,16,40
21,Marketing Specialist,44,21,44
22,Marketing Specialist,45,21,44
23,Marketing Specialist,46,21,44
24,Marketing Specialist,47,21,44
18,Marketing Specialist,48,21,44
222,Master Scheduler,44,222,44
266,Network Administrator,69,266,69
265,Network Administrator,70,266,69
264,Network Manager,68,264,68
274,North American Sales Manager,14,274,14
285,Pacific Sales Manager,20,285,20
26,Production Control Manager,43,26,43
47,Production Supervisor - WC10,65,47,65
102,Production Supervisor - WC10,66,47,65
87,Production Supervisor - WC10,67,47,65
