table_schema,table_name
production,product
production,productcategory
production,productcosthistory
production,productdescription
production,productdocument
production,productinventory
production,productlistpricehistory
production,productmodel
production,productmodelillustration
production,productmodelproductdescriptionculture
production,productphoto
production,productproductphoto
production,productreview
production,productsubcategory
purchasing,productvendor
sales,salesorderdetail
sales,specialofferproduct
production,vproductmodelcatalogdescription
production,vproductmodelinstructions
