businessentityid,quotadate,salesquota,rn
274,2022-05-30,28000.0000,1
274,2022-08-30,7000.0000,2
274,2022-11-30,91000.0000,3
274,2023-02-28,140000.0000,4
274,2023-05-30,70000.0000,5
274,2023-08-30,154000.0000,6
274,2023-11-30,107000.0000,7
274,2024-02-28,58000.0000,8
274,2024-05-29,263000.0000,9
274,2024-08-29,116000.0000,10
274,2024-11-29,84000.0000,11
274,2025-02-28,187000.0000,12
275,2022-05-30,367000.0000,1
275,2022-08-30,556000.0000,2
275,2022-11-30,502000.0000,3
275,2023-02-28,550000.0000,4
275,2023-05-30,1429000.0000,5
275,2023-08-30,1324000.0000,6
275,2023-11-30,729000.0000,7
275,2024-02-28,1194000.0000,8
275,2024-05-29,1575000.0000,9
275,2024-08-29,1218000.0000,10
275,2024-11-29,849000.0000,11
275,2025-02-28,869000.0000,12
276,2022-05-30,637000.0000,1
276,2022-08-30,781000.0000,2
276,2022-11-30,665000.0000,3
276,2023-02-28,639000.0000,4
276,2023-05-30,1355000.0000,5
276,2023-08-30,1009000.0000,6
276,2023-11-30,860000.0000,7
276,2024-02-28,1021000.0000,8
276,2024-05-29,1525000.0000,9
276,2024-08-29,1276000.0000,10
276,2024-11-29,894000.0000,11
276,2025-02-28,1124000.0000,12
277,2022-05-30,565000.0000,1
277,2022-08-30,872000.0000,2
277,2022-11-30,846000.0000,3
277,2023-02-28,952000.0000,4
277,2023-05-30,1600000.0000,5
277,2023-08-30,1352000.0000,6
277,2023-11-30,839000.0000,7
277,2024-02-28,1369000.0000,8
277,2024-05-29,1171000.0000,9
277,2024-08-29,971000.0000,10
277,2024-11-29,714000.0000,11
277,2025-02-28,947000.0000,12
278,2022-05-30,244000.0000,1
278,2022-08-30,356000.0000,2
278,2022-11-30,266000.0000,3
278,2023-02-28,341000.0000,4
278,2023-05-30,542000.0000,5
278,2023-08-30,329000.0000,6
278,2023-11-30,239000.0000,7
278,2024-02-28,418000.0000,8
278,2024-05-29,507000.0000,9
278,2024-08-29,453000.0000,10
278,2024-11-29,280000.0000,11
278,2025-02-28,390000.0000,12
279,2022-05-30,669000.0000,1
279,2022-08-30,917000.0000,2
279,2022-11-30,780000.0000,3
279,2023-02-28,802000.0000,4
279,2023-05-30,734000.0000,5
279,2023-08-30,647000.0000,6
279,2023-11-30,571000.0000,7
279,2024-02-28,572000.0000,8
279,2024-05-29,950000.0000,9
279,2024-08-29,675000.0000,10
279,2024-11-29,538000.0000,11
279,2025-02-28,686000.0000,12
280,2022-05-30,165000.0000,1
280,2022-08-30,469000.0000,2
280,2022-11-30,264000.0000,3
280,2023-02-28,301000.0000,4
280,2023-05-30,210000.0000,5
280,2023-08-30,226000.0000,6
280,2023-11-30,190000.0000,7
280,2024-02-28,224000.0000,8
280,2024-05-29,319000.0000,9
280,2024-08-29,450000.0000,10
280,2024-11-29,343000.0000,11
280,2025-02-28,390000.0000,12
281,2022-05-30,460000.0000,1
281,2022-08-30,549000.0000,2
281,2022-11-30,473000.0000,3
281,2023-02-28,493000.0000,4
281,2023-05-30,1034000.0000,5
281,2023-08-30,813000.0000,6
281,2023-11-30,470000.0000,7
281,2024-02-28,555000.0000,8
