name,jobtitle,grouping level,employee count
Finance,Accountant,Executive General and Administration,2
Finance,Accounts Manager,Executive General and Administration,1
Finance,Accounts Payable Specialist,Executive General and Administration,2
Finance,Accounts Receivable Specialist,Executive General and Administration,3
Finance,Assistant to the Chief Financial Officer,Executive General and Administration,1
Finance,Finance Manager,Executive General and Administration,1
Finance,All Job Titles,,10
Production Control,Master Scheduler,Manufacturing,1
Production Control,Production Control Manager,Manufacturing,1
Production Control,Scheduling Assistant,Manufacturing,4
Production Control,All Job Titles,,6
All Departments,All Job Titles,All Groups,16
