name,jobtitle,groupname,employeecount,name_grouping,jobtitle_grouping,groupname_grouping
Finance,Accountant,Executive General and Administration,2,0,0,0
Finance,Accountant,,2,0,0,1
Finance,Accounts Manager,Executive General and Administration,1,0,0,0
Finance,Accounts Manager,,1,0,0,1
Finance,Accounts Payable Specialist,Executive General and Administration,2,0,0,0
Finance,Accounts Payable Specialist,,2,0,0,1
Finance,Accounts Receivable Specialist,Executive General and Administration,3,0,0,0
Finance,Accounts Receivable Specialist,,3,0,0,1
Finance,Assistant to the Chief Financial Officer,Executive General and Administration,1,0,0,0
Finance,Assistant to the Chief Financial Officer,,1,0,0,1
Finance,Finance Manager,Executive General and Administration,1,0,0,0
Finance,Finance Manager,,1,0,0,1
Finance,,,10,0,1,1
Production Control,Master Scheduler,Manufacturing,1,0,0,0
Production Control,Master Scheduler,,1,0,0,1
Production Control,Production Control Manager,Manufacturing,1,0,0,0
Production Control,Production Control Manager,,1,0,0,1
Production Control,Scheduling Assistant,Manufacturing,4,0,0,0
Production Control,Scheduling Assistant,,4,0,0,1
Production Control,,,6,0,1,1
,,,16,1,1,1
