column_name,data_type,table_name
businessentityid,integer,person
persontype,character,person
namestyle,boolean,person
title,character varying,person
firstname,character varying,person
middlename,character varying,person
lastname,character varying,person
suffix,character varying,person
emailpromotion,integer,person
additionalcontactinfo,xml,person
demographics,xml,person
rowguid,uuid,person
modifieddate,timestamp without time zone,person
salesorderid,integer,salesorderheader
revisionnumber,smallint,salesorderheader
orderdate,timestamp without time zone,salesorderheader
duedate,timestamp without time zone,salesorderheader
shipdate,timestamp without time zone,salesorderheader
status,smallint,salesorderheader
onlineorderflag,boolean,salesorderheader
purchaseordernumber,character varying,salesorderheader
accountnumber,character varying,salesorderheader
customerid,integer,salesorderheader
salespersonid,integer,salesorderheader
territoryid,integer,salesorderheader
billtoaddressid,integer,salesorderheader
shiptoaddressid,integer,salesorderheader
shipmethodid,integer,salesorderheader
creditcardid,integer,salesorderheader
creditcardapprovalcode,character varying,salesorderheader
currencyrateid,integer,salesorderheader
subtotal,numeric,salesorderheader
taxamt,numeric,salesorderheader
freight,numeric,salesorderheader
totaldue,numeric,salesorderheader
comment,character varying,salesorderheader
rowguid,uuid,salesorderheader
modifieddate,timestamp without time zone,salesorderheader
businessentityid,integer,salesperson
territoryid,integer,salesperson
salesquota,numeric,salesperson
bonus,numeric,salesperson
commissionpct,numeric,salesperson
salesytd,numeric,salesperson
saleslastyear,numeric,salesperson
rowguid,uuid,salesperson
modifieddate,timestamp without time zone,salesperson
businessentityid,integer,vemployee
title,character varying,vemployee
firstname,character varying,vemployee
middlename,character varying,vemployee
lastname,character varying,vemployee
suffix,character varying,vemployee
jobtitle,character varying,vemployee
phonenumber,character varying,vemployee
phonenumbertype,character varying,vemployee
emailaddress,character varying,vemployee
emailpromotion,integer,vemployee
addressline1,character varying,vemployee
addressline2,character varying,vemployee
city,character varying,vemployee
stateprovincename,character varying,vemployee
postalcode,character varying,vemployee
countryregionname,character varying,vemployee
additionalcontactinfo,xml,vemployee
businessentityid,integer,vsalesperson
title,character varying,vsalesperson
firstname,character varying,vsalesperson
middlename,character varying,vsalesperson
lastname,character varying,vsalesperson
suffix,character varying,vsalesperson
jobtitle,character varying,vsalesperson
phonenumber,character varying,vsalesperson
phonenumbertype,character varying,vsalesperson
emailaddress,character varying,vsalesperson
emailpromotion,integer,vsalesperson
addressline1,character varying,vsalesperson
addressline2,character varying,vsalesperson
city,character varying,vsalesperson
stateprovincename,character varying,vsalesperson
postalcode,character varying,vsalesperson
countryregionname,character varying,vsalesperson
territoryname,character varying,vsalesperson
territorygroup,character varying,vsalesperson
salesquota,numeric,vsalesperson
salesytd,numeric,vsalesperson
saleslastyear,numeric,vsalesperson
