productmodelid,name,product_count,max,avg,min
30,Road-650,12,782.9900,782.9900000000000000,782.9900
9,LL Road Frame,12,337.2200,337.2200000000000000,337.2200
6,HL Road Frame,11,1431.5000,1431.5000000000000000,1431.5000
8,LL Mountain Frame,10,264.0500,256.9200000000000000,249.7900
10,LL Touring Frame,10,333.4200,333.4200000000000000,333.4200
5,HL Mountain Frame,10,1364.5000,1357.0500000000000000,1349.6000
36,Touring-3000,10,742.3500,742.3500000000000000,742.3500
23,Mountain-500,10,564.9900,552.4900000000000000,539.9900
7,HL Touring Frame,8,1003.9100,1003.9100000000000000,1003.9100
19,Mountain-100,8,3399.9900,3387.4900000000000000,3374.9900
34,Touring-1000,8,2384.0700,2384.0700000000000000,2384.0700
26,Road-250,8,2443.3500,2443.3500000000000000,2443.3500
20,Mountain-200,6,2319.9900,2307.4900000000000000,2294.9900
17,ML Road Frame-W,5,594.8300,594.8300000000000000,594.8300
28,Road-450,5,1457.9900,1457.9900000000000000,1457.9900
16,ML Road Frame,5,594.8300,594.8300000000000000,594.8300
25,Road-150,5,3578.2700,3578.2700000000000000,3578.2700
15,ML Mountain Frame-W,5,364.0900,361.0240000000000000,348.7600
29,Road-550-W,5,1120.4900,1120.4900000000000000,1120.4900
21,Mountain-300,4,1079.9900,1079.9900000000000000,1079.9900
32,Short-Sleeve Classic Jersey,4,53.9900,53.9900000000000000,53.9900
31,Road-750,4,539.9900,539.9900000000000000,539.9900
27,Road-350-W,4,1700.9900,1700.9900000000000000,1700.9900
22,Mountain-400-W,4,769.4900,769.4900000000000000,769.4900
35,Touring-2000,4,1214.8500,1214.8500000000000000,1214.8500
11,Long-Sleeve Logo Jersey,4,49.9900,49.9900000000000000,49.9900
13,Men's Sports Shorts,4,59.9900,59.9900000000000000,59.9900
4,Half-Finger Gloves,3,24.4900,24.4900000000000000,24.4900
37,Women's Mountain Shorts,3,69.9900,69.9900000000000000,69.9900
38,Women's Tights,3,74.9900,74.9900000000000000,74.9900
12,Men's Bib-Shorts,3,89.9900,89.9900000000000000,89.9900
3,Full-Finger Gloves,3,37.9900,37.9900000000000000,37.9900
33,Sport-100,3,34.9900,34.9900000000000000,34.9900
1,Classic Vest,3,63.5000,63.5000000000000000,63.5000
14,ML Mountain Frame,3,348.7600,348.7600000000000000,348.7600
18,Mountain Bike Socks,2,9.5000,9.5000000000000000,9.5000
24,Racing Socks,2,8.9900,8.9900000000000000,8.9900
95,LL Bottom Bracket,1,53.9900,53.9900000000000000,53.9900
57,ML Road Handlebars,1,61.9200,61.9200000000000000,61.9200
81,HL Mountain Seat/Saddle 2,1,52.6400,52.6400000000000000,52.6400
61,HL Headset,1,124.7300,124.7300000000000000,124.7300
77,ML Road Rear Wheel,1,275.3850,275.3850000000000000,275.3850
104,LL Fork,1,148.2200,148.2200000000000000,148.2200
56,LL Road Handlebars,1,44.5400,44.5400000000000000,44.5400
91,Touring Tire,1,28.9900,28.9900000000000000,28.9900
54,ML Mountain Handlebars,1,61.9200,61.9200000000000000,61.9200
96,ML Bottom Bracket,1,101.2400,101.2400000000000000,101.2400
