businessentityid,salesyear,salesquota,quotadate,next_quota
277,2022,565000.0000,2022-05-30,872000.0000
277,2022,872000.0000,2022-08-30,846000.0000
277,2022,846000.0000,2022-11-30,952000.0000
277,2023,952000.0000,2023-02-28,1600000.0000
277,2023,1600000.0000,2023-05-30,1352000.0000
277,2023,1352000.0000,2023-08-30,839000.0000
277,2023,839000.0000,2023-11-30,1369000.0000
277,2024,1369000.0000,2024-02-28,1171000.0000
277,2024,1171000.0000,2024-05-29,971000.0000
277,2024,971000.0000,2024-08-29,714000.0000
277,2024,714000.0000,2024-11-29,947000.0000
277,2025,947000.0000,2025-02-28,
