table_name,column_name,data_type
employee,businessentityid,integer
employee,nationalidnumber,character varying
employee,loginid,character varying
employee,jobtitle,character varying
employee,birthdate,date
employee,maritalstatus,character
employee,gender,character
employee,hiredate,date
employee,salariedflag,boolean
employee,vacationhours,smallint
employee,sickleavehours,smallint
employee,currentflag,boolean
employee,rowguid,uuid
employee,modifieddate,timestamp without time zone
employee,organizationnode,character varying
